,Predicted Conversion,Measured Conversion,ID,Name,temperature
90_400_0,0.9314723853399998,0.332421601,90,Ru(1)Ir(3)K(12),400.0
87_400_0,0.9481005761200001,0.38051821,87,Ru(1)Mo(3)K(12),400.0
86_350_0,0.9067136036199999,0.028624902999999997,86,Ru(2)Mo(2)K(12),350.0
90_350_0,0.7871216756599998,0.168319722,90,Ru(1)Ir(3)K(12),350.0
93_400_0,0.9208758180600001,0.7104351259999999,93,Ru(1)Re(3)K(12),400.0
87_250_0,0.26189331772,0.15054885699999998,87,Ru(1)Mo(3)K(12),250.0
38_350_1,0.88776737272,0.9722799940000001,38,Ru(2)Mn(2)K(12),350.0
85_450_0,0.99262522386,1.0,85,Ru(3)Mo(1)K(12),450.0
93_250_0,0.20347526263999996,0.042815457,93,Ru(1)Re(3)K(12),250.0
85_400_0,0.99262522386,0.893820993,85,Ru(3)Mo(1)K(12),400.0
85_250_0,0.29300131864,0.10671627300000001,85,Ru(3)Mo(1)K(12),250.0
86_300_0,0.42806889651999996,0.007846155,86,Ru(2)Mo(2)K(12),300.0
86_400_0,0.9521099309400001,0.171749485,86,Ru(2)Mo(2)K(12),400.0
93_450_0,0.9644171092399999,0.95525792,93,Ru(1)Re(3)K(12),450.0
86_450_0,0.9521099309400001,0.415465433,86,Ru(2)Mo(2)K(12),450.0
90_300_0,0.4830230896199999,0.16996720699999998,90,Ru(1)Ir(3)K(12),300.0
86_250_0,0.24704418004,0.0,86,Ru(2)Mo(2)K(12),250.0
38_300_1,0.35917086655999997,0.46879234700000005,38,Ru(2)Mn(2)K(12),300.0
87_350_0,0.8556160890200001,0.217764088,87,Ru(1)Mo(3)K(12),350.0
87_450_0,0.9481005761200001,0.713678968,87,Ru(1)Mo(3)K(12),450.0
38_450_1,0.9912547211,0.9996868640000001,38,Ru(2)Mn(2)K(12),450.0
93_350_0,0.7727356388799999,0.279635856,93,Ru(1)Re(3)K(12),350.0
38_400_1,0.9912547211,0.984657303,38,Ru(2)Mn(2)K(12),400.0
90_250_0,0.21564883873999996,0.165535261,90,Ru(1)Ir(3)K(12),250.0
90_450_0,0.9750136765199998,0.810247383,90,Ru(1)Ir(3)K(12),450.0
87_300_0,0.42139305643999997,0.16582702300000002,87,Ru(1)Mo(3)K(12),300.0
93_300_0,0.4376502466,0.115003504,93,Ru(1)Re(3)K(12),300.0
85_350_0,0.9462333342599999,0.36727144,85,Ru(3)Mo(1)K(12),350.0
85_300_0,0.4653758394,0.207592836,85,Ru(3)Mo(1)K(12),300.0
38_250_1,0.24945024732,0.228009703,38,Ru(2)Mn(2)K(12),250.0
