Atomic Number,Abbreviation,AtomicVolume,AtomicWeight,BoilingT,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HeatCapacityMass,HeatCapacityMolar,HeatFusion,HHIp,HHIr,ICSDVolume,IonizationEnergies_1,IonizationEnergies_2,IonizationEnergies_3,IonizationEnergies_4,IonizationEnergies_5,IonizationEnergies_6,IonizationEnergies_7,IonizationEnergies_8,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingT,MendeleevNumber,MiracleRadius,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,n_ws^third,OxidationStates,phi,Polarizability,Row,ShearModulus,SpaceGroupNumber,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
93,Np,19.24483901,237,4273,4273,,3,190,20450,24.8,,1.36,6.2657,3.2,0,-12.94031436,3.329442683,4.194834921,0,18.45375,,,3.2,,,19.22,6.2657,,,,,,,,0,0,1,1,0,0,917,22,175,9,1,10,4,0,0,0,2,93,19,7,,3,,24.8,7,,62,,,,,4.83
94,Pu,20.44716406,244,3503,3503,,3,187,19816,24.5,,1.28,6.026,2.824,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,2.824,,,20.04,6.026,11.2,,,,,,,0,0,1,1,0,0,913,24,175,0,0,8,6,0,0,0,2,94,8,8,1.44,3,3.8,24.5,7,43,11,,,,,4.91
95,Am,29.51868508,243,2284,2284,,3,180,13670,23.3,,1.3,5.9738,14.39,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,14.39,,,29.27,5.9738,,,,,,,,0,0,1,1,0,0,1449,26,,0,0,7,7,0,0,0,2,95,7,9,,3,,23.3,7,,194,,,,,4.89
96,Cm,30.35993609,247,3383,3383,,3,169,13510,23,,1.3,5.9914,14.64,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,14.64,,,21.04,5.9914,,,,,,,,0,0,1,1,0,0,1618,28,,9,1,7,7,0,0,0,2,96,16,10,,3,,23,7,,194,,,,,
97,Bk,27.75120004,247,,,,3,,14780,22.7,,1.3,6.1979,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,31.2,6.1979,,,,,,,,0,0,1,1,0,0,1323,30,,0,0,5,9,0,0,0,2,97,5,11,,3,,22.7,7,,194,,,,,
98,Cf,27.60298332,251,,,,3,,15100,20.5,,1.3,6.2817,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,6.2817,11.8,,,,,,,0,0,1,1,0,0,1173,32,,0,0,4,10,0,0,0,2,98,4,12,,4,,20.5,7,,194,,,,,
99,Es,,252,,,,3,,,19.7,,1.3,6.42,9.41,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,9.41,,,27.31,6.42,12,,,,,,,0,0,1,1,0,0,1133,34,,0,0,3,11,0,0,0,2,99,3,13,,5,,19.7,7,,,,,,,
100,Fm,,257,,,,3,,,23.8,,1.3,6.5,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,6.5,,,,,,,,0,0,1,1,0,0,1800,36,,0,0,2,12,0,0,0,2,100,2,14,,6,,23.8,7,,,,,,,
101,Md,,258,,,,3,,,18.2,,1.3,6.58,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,6.58,,,,,,,,0,0,1,1,0,0,1100,38,,0,0,1,13,0,0,0,2,101,1,15,,4 6 7,,18.2,7,,,,,,,
102,No,,259,,,,3,,,16.4,,1.3,6.65,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,6.65,,,,,,,,0,0,1,1,0,0,1100,40,,0,0,0,14,0,0,0,2,102,0,16,,3 4,,16.4,7,,,,,,,
