Atomic Number,Abbreviation,AtomicVolume,AtomicWeight,BoilingT,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HeatCapacityMass,HeatCapacityMolar,HeatFusion,HHIp,HHIr,ICSDVolume,IonizationEnergies_1,IonizationEnergies_2,IonizationEnergies_3,IonizationEnergies_4,IonizationEnergies_5,IonizationEnergies_6,IonizationEnergies_7,IonizationEnergies_8,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingT,MendeleevNumber,MiracleRadius,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,n_ws^third,OxidationStates,phi,Polarizability,Row,ShearModulus,SpaceGroupNumber,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
23,V,13.84489822,50.9415,3680,3680,160,5,153,6110,12.4,50.6,1.63,6.74619,21.5,0,-8.93926069,2.963255488,3.733467966,0,13.01,0.489,24.89,21.5,3300,3400,13.88,6.74619,14.618,29.311,46.709,65.2817,128.13,150.6,173.4,0,1,0,1,0,0,2183,46,134,7,3,0,0,0,0,0,2,23,7,5,1.64,2 3,4.25,12.4,4,47,229,0.26,1.34,0.25,1.09,2.43
24,Cr,12.09293747,51.9961,2944,2944,160,6,139,7140,11.6,64.3,1.66,6.76651,21,0,-9.50571654,2.818080279,3.550558664,0,11.19,0.449,23.35,21,3100,4100,12.01,6.76651,16.4857,30.96,49.16,69.46,90.6349,160.18,184.7,0,1,0,1,0,0,2180,49,130,5,5,0,0,0,0,1,1,24,6,6,1.73,2 3,4.65,11.6,4,115,229,0.25,1.37,0.3,1.07,2.44
25,Mn,12.21270447,54.938045,2334,2334,120,7,139,7470,9.4,0,1.55,7.43402,12.91,0,-9.02056525,2.757836487,3.474656242,0.000310121,10.48758621,0.479,26.32,12.91,1600,1800,12.2,7.43402,15.64,33.668,51.2,72.4,95.6,119.203,194.5,0,1,0,1,0,0,1519,52,132,5,5,0,0,0,0,0,2,25,5,7,1.61,2 3,4.45,9.4,4,78,217,0.23,1.23,0.24,0.99,2.22
26,Fe,11.77736497,55.845,3134,3134,170,8,132,7874,8.4,15.7,1.83,7.9024,13.81,0,-8.28548436,2.778923379,3.501224062,2.1106628,10.73,0.449,25.1,13.81,2400,1400,11.78,7.9024,16.1877,30.652,54.8,75,99.1,124.98,151.06,0,1,0,1,0,0,1811,55,125,4,6,0,0,0,0,0,2,26,4,8,1.77,1 2,4.93,8.4,4,82,229,0.22,1.16,0.21,0.95,2.11
27,Co,10.99586068,58.933195,3200,3200,180,9,126,8900,7.5,63.7,1.88,7.88101,16.2,0,-7.080389145,2.736406748,3.447656463,1.5484712,10.245,0.421,24.81,16.2,3.10E+03,2.70E+03,11.12,7.88101,17.084,33.5,51.3,79.5,102,128.9,157.8,0,1,0,1,0,0,1768,58,125,3,7,0,0,0,0,0,2,27,3,9,1.75,2,5.1,7.5,4,75,194,0.21,1.1,0.18,0.92,2.02
28,Ni,10.94128444,58.6934,3186,3186,180,10,124,8908,6.8,112,1.91,7.6398,17.48,0,-5.54632457,2.74306794,3.456049039,0.5953947,10.32,0.444,26.07,17.48,1000,1500,10.86,7.6398,18.16884,35.19,54.9,76.06,108,133,162,0,1,0,1,0,0,1728,61,126,2,8,0,0,0,0,0,2,28,2,10,1.75,3,5.2,6.8,4,76,225,0.195,1.22,0.26,0.96,2.18
29,Cu,11.82994193,63.546,3200,3200,140,11,132,8920,6.15,118.4,1.9,7.72638,13.6,0,-3.68065482,2.807970487,3.537821124,0,11.07,0.385,24.44,13.6,1600,1500,11.81,7.72638,20.2924,36.841,57.38,79.8,103,139,166,0,1,0,1,0,0,1357.77,64,126,0,10,0,0,0,0,1,1,29,1,11,1.47,2 4,4.45,6.15,4,48,225,0.185,1.16,0.28,0.88,2.04
30,Zn,15.20568373,65.38,1180,1180,70,12,122,7140,-5.816666667,0,1.65,9.394199,7.068,0,-1.239999915,3.033694224,3.822215211,0,13.96,0.388,25.39,7.068,1600,1900,15.19,9.394199,17.96439,39.723,59.4,82.6,108,134,174,0,1,0,1,0,0,692.68,69,140,0,10,0,0,0,0,0,2,30,0,12,1.32,-3 3 5,4.1,-5.816666667,4,43,194,0.175,1.06,0.24,0.82,1.88
31,Ga,19.61051348,69.723,2477,2477,,13,122,5904,8.12,28.9,1.81,5.999301,5.585,0,-3.012255303,3.353549368,4.225207441,0,18.8575,0.373,26.03,5.585,5500,1900,19.6,5.999301,20.51515,30.7258,63.241,86.01,112.7,140.9,169.9,0,0,0,1,0,0,302.91,74,134,0,10,0,0,5,1,0,2,31,5,13,1.31,-2 4 6,4.1,8.12,4,,64,0.17,0.935,0.175,0.76,1.695
32,Ge,22.66097638,72.64,3093,3093,,14,120,5323,5.84,119,2.01,7.89943,36.94,0.383,-4.616039545,3.583307493,4.514684539,0,23.005,0.32,23.222,36.94,5300,1900,22.23,7.89943,15.93461,34.2241,45.7131,93.5,,,,0,0,0,0,1,0,1211.4,79,114,0,10,0,0,4,2,0,2,32,4,14,1.37,-1 1 5,4.55,5.84,4,,225,0.16,0.84,0.12,0.72,1.56
33,As,21.72396574,74.9216,887,887,22,15,119,5727,4.31,78,2.18,9.7886,24.44,0,-4.650889115,3.539684396,4.459722881,0,22.175,0.329,24.64,24.44,3300,4000,21.52,9.7886,18.5892,28.351,50.13,62.63,127.6,,,0,0,0,1,1,0,1090,84,115,0,10,0,0,3,3,0,2,33,3,15,1.44,1,4.8,4.31,4,,166,0.155,0.745,0.075,0.67,1.415
34,Se,27.20880463,78.96,958,958,8.3,16,120,4819,3.77,195,2.55,9.75239,6.69,0.799,-3.47079191,3.728679007,4.697841169,0,25.92,0.321,25.363,6.69,2200,6000,29.81,9.75239,21.19,30.8204,42.945,68.3,81.7,155.4,,0,0,0,0,0,1,494,89,118,0,10,0,0,2,4,0,2,34,2,16,,2,,3.77,4,3.7,14,0.15,0.67,0.055,0.615,1.285
35,Br,42.52782532,79.904,332,332,1.9,17,120,3120,3.05,324.6,2.96,11.8138,5.285,1.457,-1.583025338,3.892116444,4.903759436,0,29.48,0.474,75.69,5.285,3300,6900,65.14,11.8138,21.591,36,47.3,59.7,88.6,103,192.8,0,0,0,0,0,1,265.8,95,,0,10,0,0,1,5,0,2,35,1,17,,3,,3.05,4,,64,0.143,0.62,0.04,0.58,1.2
36,Kr,37107.49474,83.798,119.78,119.78,,18,116,3.75,2.4844,0,3,13.99961,1.164,7.535,0.08753524,4.162477568,5.244393107,0,36.06,0.248,20.786,1.164,,,44.81,13.99961,24.35984,36.95,52.5,64.7,78.5,111,125.802,0,0,0,0,0,1,115.79,101,,0,10,0,0,0,6,0,2,36,0,18,,4,,2.4844,4,,225,0.138,0.6,0.04,0.56,1.16
37,Rb,92.64095184,85.4678,961,961,2.5,1,220,1532,47.27,46.9,0.82,4.177128,2.19,0,-0.963335025,5.661284779,7.132771862,0,90.7225,0.363,31.06,2.19,6000,6000,93.09,4.177128,27.2895,40,52.6,71,84.4,99.2,136,1,0,0,1,0,0,312.46,4,244,0,0,0,0,0,0,1,1,37,1,1,0.6,3 5,2.1,47.27,5,,229,0.71,2.43,0.76,1.67,4.1
38,Sr,55.32313078,87.62,1655,1655,,2,195,2630,25.55,5.03,0.95,5.69485,7.43,0,-1.6828136,4.768954732,6.008506453,0,54.23,0.306,26.79,7.43,4200,3000,56.08,5.69485,11.0301,42.89,57,71.6,90.8,106,122.3,1,0,0,1,0,0,1050,8,212,0,0,0,0,0,0,0,2,38,0,2,0.84,6,2.4,25.55,5,6.1,225,0.633,1.79,0.37,1.42,3.21
39,Y,33.01321288,88.90585,3618,3618,41,3,190,4472,22.7,29.6,1.22,6.2173,11.39,0,-6.464599775,4.015150874,5.058773104,0,32.365,0.298,26.53,11.39,9800,2600,32.97,6.2173,12.224,20.52,60.597,77,93,116,129,0,1,0,1,0,0,1799,12,179,9,1,0,0,0,0,0,2,39,9,3,1.21,4 6 7,3.2,22.7,5,26,194,0.58,1.62,0.3,1.32,2.94
40,Zr,23.26594327,91.224,4682,4682,,4,175,6511,17.9,41.1,1.33,6.6339,21,0,-8.545958555,3.593145393,4.527079516,0,23.195,0.278,25.36,21,3400,2600,23.29,6.6339,13.1,22.99,34.34,80.348,,,,0,1,0,1,0,0,2128,44,158,8,2,0,0,0,0,0,2,40,8,4,1.41,3,3.45,17.9,5,33,194,0.54,1.56,0.295,1.265,2.825
41,Nb,18.00213298,92.90638,5017,5017,170,5,164,8570,15.7,86.1,1.6,6.75885,30,0,-10.09332153,3.312897187,4.173988903,0,18.18,0.265,24.6,30,8500,8800,18.15,6.75885,14,25.04,38.3,50.55,102.057,125,,0,1,0,1,0,0,2750,47,143,6,4,0,0,0,0,1,1,41,7,5,1.64,3,4.05,15.7,5,38,229,0.51,1.53,0.3,1.23,2.76
42,Mo,15.50088069,95.96,4912,4912,230,6,154,10280,12.8,71.9,2.16,7.09243,37.48,0,-10.84610777,3.154164308,3.973998007,0,15.69,0.251,24.06,37.48,2400,5300,15.59,7.09243,16.16,27.13,46.4,54.49,68.8276,125.664,143.6,0,1,0,1,0,0,2896,50,139,5,5,0,0,0,0,1,1,42,6,6,1.77,2 3,4.65,12.8,5,20,229,0.49,1.5,0.28,1.22,2.72
43,Tc,14.15101151,98,4538,4538,,7,147,11500,11.4,53,1.9,7.28,33.29,0,-10.3551512,3.057056135,3.851649375,0,14.285,,,33.29,,,14.22,7.28,15.26,29.54,,,,,,0,1,0,1,0,0,2430,53,136,5,5,0,0,0,0,0,2,43,5,7,1.81,1,5.3,11.4,5,,194,0.455,1.49,0.33,1.16,2.65
44,Ru,13.56787441,101.07,4423,4423,220,8,146,12370,9.6,101.3,2.2,7.3605,38.59,0,-9.19463357,3.000740558,3.780696194,0,13.51,0.238,24.06,38.59,3200,8000,14.03,7.3605,16.76,28.47,,,,,,0,1,0,1,0,0,2607,56,134,3,7,0,0,0,0,1,1,44,4,8,1.83,2,5.4,9.6,5,173,194,0.45,1.46,0.315,1.145,2.605
45,Rh,13.72550981,102.9055,3968,3968,380,9,142,12450,8.6,109.7,2.28,7.4589,26.59,0,-7.25364552,3.010334727,3.79278409,0,13.64,0.243,24.98,26.59,3200,8000,11.58,7.4589,18.08,31.06,,,,,,0,1,0,1,0,0,2237,59,132,2,8,0,0,0,0,1,1,45,3,9,1.76,3,5.4,8.6,5,150,225,0.42,1.41,0.3,1.11,2.52
46,Pd,14.69838627,106.42,3236,3236,180,10,139,12023,4.8,53.7,2.2,8.3369,16.74,0,-5.13777457,3.065947111,3.862851303,0,14.41,0.244,25.98,16.74,3200,8000,14.72,8.3369,19.43,32.93,,,,,,0,1,0,1,0,0,1828.05,62,142,0,10,0,0,0,0,0,0,46,0,10,1.67,2 4,5.45,4.8,5,44,225,0.4,1.37,0.29,1.08,2.45
47,Ag,17.07564795,107.8682,2435,2435,100,11,145,10490,6.99,125.6,1.93,7.57623,11.3,0,-2.76539356,3.196480506,4.027313074,0,16.33,0.235,25.35,11.3,1200,1400,17.05,7.57623,21.47746,34.83,,,,,,0,1,0,1,0,0,1234.93,65,144,0,10,0,0,0,0,1,1,47,1,11,1.36,-3 3 5,4.35,6.99,5,30,225,0.385,1.33,0.285,1.045,2.375
48,Cd,21.58002546,112.411,1040,1040,42,12,144,8650,7.32,0,1.69,8.99382,6.21,0,-0.812174225,3.390921571,4.272293466,0,19.495,0.231,26.02,6.21,1700,1300,21.59,8.99382,16.90831,37.48,,,,,,0,1,0,1,0,0,594.22,70,157,0,10,0,0,0,0,0,2,48,0,12,1.24,-2 4 6,4.05,7.32,5,19,194,0.37,1.23,0.245,0.985,2.215
49,In,26.08265816,114.818,2345,2345,,13,142,7310,9.65,28.9,1.78,5.78636,3.291,0,-2.66680196,3.647317727,4.595332379,0,24.26,0.233,26.74,3.291,3300,2000,26.14,5.78636,18.8703,28.03,54,,,,,0,0,0,1,0,0,429.75,75,155,0,10,0,0,5,1,0,2,49,5,13,1.17,-1 1 5 7,3.9,9.65,5,,139,0.36,1.11,0.17,0.94,2.05
50,Sn,26.96678526,118.71,2875,2875,58,14,139,7310,7.06,107.3,1.96,7.34392,7.15,0,-3.96104709,4.052840562,5.106259136,0,33.285,0.227,26.99,7.15,2600,1600,27.05,7.34392,14.6322,30.5026,40.73502,72.28,,,,0,0,0,1,0,0,505.08,80,155,0,10,0,0,4,2,0,2,50,4,14,1.24,1,4.15,7.06,5,18,141,0.345,1,0.12,0.88,1.88
51,Sb,30.19142344,121.76,1860,1860,42,15,139,6697,6.6,103.2,2.05,8.60839,19.79,0,-4.11736234,3.981581991,5.016478962,0,31.56,0.207,25.23,19.79,7900,3400,30.21,8.60839,16.63,25.3,44.2,56,108,,,0,0,0,1,1,0,903.78,85,155,0,10,0,0,3,3,0,2,51,3,15,1.26,2,4.4,6.6,5,20,166,0.335,0.935,0.105,0.83,1.765
52,Te,33.95668872,127.6,1261,1261,65,16,138,6240,5.5,190.2,2.1,9.0096,17.38,0.464,-3.141302507,4.111975037,5.180763906,0,34.76333333,0.202,25.73,17.38,2900,4900,33.94,9.0096,18.6,27.96,37.41,58.75,70.7,137,,0,0,0,0,1,0,722.66,90,140,0,10,0,0,2,4,0,2,52,2,16,,3,,5.5,5,16,152,0.325,0.88,0.09,0.79,1.67
53,I,42.65885747,126.90447,457.3,457.3,7.7,17,139,4940,5.025,295.2,2.66,10.45126,7.76,1.062,-1.505402418,4.414518159,5.561944354,0,43.015,0.214,54.43,7.76,4900,4800,42.51,10.45126,19.1313,33,,,,,,0,0,0,0,0,1,386.85,96,,0,10,0,0,1,5,0,2,53,1,17,,3 4,,5.025,5,,64,0.315,0.83,0.075,0.755,1.585
54,Xe,36952.92402,131.293,165,165,,18,140,5.9,4.044,0,2.6,12.12984,2.27,6.456,0.04873128,4.751892136,5.987008929,0,53.65,0.158,20.786,2.27,,,57.83,12.12984,20.975,32.123,,,,,,0,0,0,0,0,1,161.3,102,,0,10,0,0,0,6,0,2,54,0,18,,3,,4.044,5,,225,0.305,0.81,0.06,0.75,1.56
55,Cs,117.4560158,132.9054519,944,944,1.6,1,244,1879,59.42,45.5,0.79,3.893905,2.09,0,-0.85462646,6.140481453,7.736521839,0,115.765,0.242,32.21,2.09,6000,6000,67.55,3.893905,23.15744,,,,,,,1,0,0,1,0,0,301.59,5,264,0,0,0,0,0,0,1,1,55,1,1,0.55,3,1.95,59.42,6,,229,,2.6,0.89,1.71,4.31
56,Ba,64.96928167,137.327,2143,2143,9.6,2,215,3510,39.7,13.95,0.89,5.211664,7.12,0,-1.92352226,5.028899311,6.3360161,0,63.59,0.204,28.07,7.12,3000,2300,62.88,5.211664,10.00383,,,,,,,1,0,0,1,0,0,1000,9,223,0,0,0,0,0,0,0,2,56,0,2,0.81,3,2.32,39.7,6,4.9,229,0.94,1.887,0.372,1.515,3.402
57,La,37.53064612,138.90547,3737,3737,28,3,207,6146,31.1,48,1.1,5.5769,6.2,0,-4.927546185,4.194456026,5.28468344,0,36.8975,0.195,27.11,6.2,9500,3100,37.42,5.5769,11.059,19.1773,49.95,61.6,,,,0,0,1,1,0,0,1193,13,187,9,1,0,0,0,0,0,2,57,9,3,1.18,2 3,3.17,31.1,6,14,194,0.874,1.705,0.33,1.375,3.08
58,Ce,34.78450148,140.116,3633,3633,22,3,204,6689,29.6,50,1.12,5.5387,5.46,0,-4.77656965,4.207394381,5.300984746,0,37.24,0.192,26.94,5.46,9500,3100,34.47,5.5387,10.85,20.198,36.758,65.55,77.6,,,0,0,1,1,0,0,1071,15,182,9,1,13,1,0,0,0,2,58,22,4,1.19,2 3,3.18,29.6,6,14,194,,,,,4.5
59,Pr,35.23917573,140.90765,3563,3563,29,3,203,6640,28.2,50,1.13,5.473,6.89,0,-4.77382996,4.14761076,5.225662103,0,35.675,0.193,27.2,6.89,9500,3100,34.5,5.473,10.55,21.624,38.98,57.53,,,,0,0,1,1,0,0,1204,17,183,0,0,11,3,0,0,0,2,59,11,5,1.2,3,3.19,28.2,6,15,194,,,,,4.48
60,Nd,34.16905488,144.242,3373,3373,32,3,201,7010,31.4,50,1.14,5.525,7.14,0,-4.76235134,4.1138142,5.183081107,0,34.81,0.19,27.45,7.14,9500,3100,34.2,5.525,10.72,22.1,40.4,,,,,0,0,1,1,0,0,1294,19,182,0,0,10,4,0,0,0,2,60,10,6,1.2,3,3.19,31.4,6,16,194,,,,,3.99
61,Pm,33.14754856,145,3273,3273,33,3,199,7264,30.1,50,1.155,5.582,,0,-4.744621343,4.075342789,5.134610166,0,33.8425,,,,9500,3100,33.67,5.582,10.9,22.3,41.1,,,,,0,0,1,1,0,0,1373,21,185,0,0,9,5,0,0,0,2,61,9,7,1.21,3,3.19,30.1,6,18,194,,,,,3.99
62,Sm,33.95681901,150.36,2076,2076,38,3,198,7353,28.8,50,1.17,5.6437,8.62,0,-4.713379635,4.050607032,5.103445064,0,33.23,0.196,29.54,8.62,9500,3100,33.14,5.6437,11.07,23.4,41.4,,,,,0,0,1,1,0,0,1345,23,185,0,0,8,6,0,0,0,2,62,8,8,1.21,3,3.2,28.8,6,20,166,,,,,4.14
63,Eu,48.12129236,151.964,1800,1800,8.3,3,198,5244,27.7,50,1.185,5.67038,9.21,0,-1.82958684,4.177811939,5.263713205,0,36.46,0.182,27.66,9.21,9500,3100,48.53,5.67038,11.25,24.92,42.7,,,,,0,0,1,1,0,0,1095,25,196,0,0,7,7,0,0,0,2,63,7,9,0.88,3,2.5,27.7,6,7.9,229,,,,,3.94
64,Gd,33.04972431,157.25,3523,3523,38,3,196,7901,23.5,50,1.2,6.1498,9.67,0,-4.65442131,4.002082249,5.042307669,0,32.05,0.235,37.03,9.67,9500,3100,32.98,6.1498,12.09,20.63,44,,,,,0,0,1,1,0,0,1586,27,176,9,1,7,7,0,0,0,2,64,16,10,1.21,3,3.2,23.5,6,22,194,,,,,3.91
65,Tb,32.10949276,158.92535,3503,3503,38.7,3,194,8219,25.5,50,1.21,5.8638,10.15,0,-4.629217697,3.988997542,5.025821971,0,31.73666667,0.182,28.91,10.15,9500,3100,31.95,5.8638,11.52,21.91,39.79,,,,,0,0,1,1,0,0,1629,29,176,0,0,5,9,0,0,0,2,65,5,11,1.22,2 3,3.21,25.5,6,22,194,,,,,3.89
66,Dy,31.55699985,162.5,2840,2840,41,3,192,8551,24.5,50,1.22,5.9389,11.35,0,-4.601554453,3.968079278,4.99946661,0,31.24,0.173,28.16,11.35,9500,3100,31.6,5.9389,11.67,22.8,41.47,,,,,0,0,1,1,0,0,1685,31,175,0,0,4,10,0,0,0,2,66,4,12,1.22,3,3.21,24.5,6,25,194,,,,,3.67
67,Ho,31.14037991,164.93032,2973,2973,40,3,192,8795,23.6,50,1.23,6.0215,11.76,0,-4.577416877,3.946510119,4.972291172,0,30.73333333,0.165,27.15,11.76,9500,3100,31.11,6.0215,11.8,22.84,42.5,,,,,0,0,1,1,0,0,1747,33,177,0,0,3,11,0,0,0,2,67,3,13,1.22,4,3.22,23.6,6,26,194,,,,,3.65
68,Er,30.63606837,167.259,3141,3141,44,3,189,9066,22.7,50,1.24,6.1077,19.9,0,-4.563633745,3.940150647,4.964278739,0,30.585,0.168,28.12,19.9,9500,3100,30.67,6.1077,11.93,22.74,42.7,,,,,0,0,1,1,0,0,1770,35,175,0,0,2,12,0,0,0,2,68,2,14,1.23,5,3.22,22.7,6,28,194,,,,,3.63
69,Tm,30.09638585,168.93421,2223,2223,45,3,190,9321,21.8,50,1.25,6.18431,16.84,0,-4.47387849,3.905274476,4.920337518,0,29.78,0.16,27.03,16.84,9500,3100,30.14,6.18431,12.05,23.68,42.7,,,,,0,0,1,1,0,0,1818,37,175,0,0,1,13,0,0,0,2,69,1,15,1.23,6,3.22,21.8,6,31,194,,,,,3.6
70,Yb,43.73967194,173.054,1469,1469,31,3,187,6570,20.9,50,1.26,6.25416,7.66,0,-1.47410408,4.086451411,5.148606152,0,34.12,0.155,26.74,7.66,9500,3100,41.17,6.25416,12.176,25.05,43.56,,,,,0,0,1,1,0,0,1092,39,190,0,0,0,14,0,0,0,2,70,0,16,0.92,4 6 7,2.58,20.9,6,9.9,225,,,,,3.59
71,Lu,29.52403191,174.9668,3675,3675,48,3,187,9841,21.9,50,1.27,5.42586,18.65,0,-4.52300002,3.864860763,4.869419431,0.0022471,28.865,0.154,26.86,18.65,9500,3100,29.52,5.42586,13.9,20.9594,45.25,66.8,,,,0,1,1,1,0,0,1936,41,175,9,1,0,14,0,0,0,2,71,9,17,1.24,3 4,3.22,21.9,6,27,194,,,,,3.37
72,Hf,22.26871119,178.49,4876,4876,110,4,175,13310,16.2,0,1.3,6.82507,27.2,0,-9.954299335,3.541014105,4.461398209,0,22.2,0.144,25.73,27.2,3400,2600,22.42,6.82507,15,23.3,33.33,,,,,0,1,0,1,0,0,2506,45,158,8,2,0,14,0,0,0,2,72,8,18,1.45,3 4,3.6,16.2,6,30,194,0.63,1.61,0.31,1.3,2.91
73,Ta,18.04672956,180.94788,5731,5731,200,5,170,16650,13.1,31,1.5,7.54957,36.57,0,-11.85139954,3.309248619,4.169391995,0,18.12,0.14,25.36,36.57,2300,4800,17.65,7.54957,,,,,,,,0,1,0,1,0,0,3290,48,145,7,3,0,14,0,0,0,2,73,7,19,1.63,2 4,4.05,13.1,6,69,229,0.605,1.54,0.29,1.25,2.79
74,W,15.85873442,183.84,5828,5828,310,6,162,19250,11.1,78.6,2.36,7.86403,52.31,0,-12.95880062,3.178105751,4.004162334,0,16.05,0.132,24.27,52.31,7000,4300,15.85,7.86403,16.1,,,,,,,0,1,0,1,0,0,3695,51,135,6,4,0,14,0,0,0,2,74,6,20,1.81,1 3,4.8,11.1,6,161,229,0.59,1.515,0.295,1.22,2.735
75,Re,14.71033423,186.207,5869,5869,370,7,151,21020,9.7,14.5,1.9,7.83352,34.08,0,-12.41702777,3.083225384,3.884620563,0,14.655,0.137,25.48,34.08,3300,3300,14.71,7.83352,,,,,,,,0,1,0,1,0,0,3459,54,137,5,5,0,14,0,0,0,2,75,5,21,1.85,1 2,5.2,9.7,6,178,194,0.565,1.49,0.3,1.19,2.68
76,Os,13.98369767,190.23,5285,5285,,8,144,22590,8.5,106.1,2.2,8.43823,57.85,0,-11.22070399,3.043082054,3.834043137,0,14.09,0.13,24.7,57.85,5.50E+03,9.10E+03,13.8,8.43823,,,,,,,,0,1,0,1,0,0,3306,57,135,4,6,0,14,0,0,0,2,76,4,22,1.85,1 3,5.4,8.5,6,222,194,0.543,1.48,0.31,1.17,2.65
77,Ir,14.14855047,192.217,4701,4701,320,9,141,22560,7.6,151,2.2,8.96702,41.12,0,-8.84851145,3.051696628,3.84489682,0,14.21,0.131,25.1,41.12,5.50E+03,9.10E+03,13.88,8.96702,,,,,,,,0,1,0,1,0,0,2739,60,136,3,7,0,14,0,0,0,2,77,3,23,1.83,2 4,5.55,7.6,6,210,225,0.526,1.468,0.308,1.16,2.628
78,Pt,15.36046351,195.084,4098,4098,230,10,136,21090,6.5,205.3,2.28,8.9588,22.175,0,-6.02850968,3.108612885,3.91660681,0,15.02,0.133,25.86,22.175,5500,9100,15.1,8.9588,18.563,,,,,,,0,1,0,1,0,0,2041.4,63,139,1,9,0,14,0,0,1,1,78,2,24,1.78,3 5,5.65,6.5,6,61,225,0.51,1.46,0.22,1.24,2.7
