,Predicted Conversion,Measured Conversion
84_350_4,0.6208662168148134,0.04248792085417002
85_350_4,0.8724702850689853,0.15874486550759298
91_350_4,0.8318647790247096,0.18047666522740397
87_250_0,0.2582241903302533,0.15054885690851846
93_300_0,0.42844749991452796,0.11500350379071335
91_450_0,0.9205019040880348,0.9281738554801028
89_350_3,0.7145487927441035,0.2439596565299827
90_250_0,0.1824548649837263,0.1655352610685138
91_350_0,0.8302399454690028,0.1977881446955244
86_400_0,0.9174761462637773,0.17174948482295238
84_350_0,0.6321352624119039,0.11978795960210975
38_350_0,0.8385742835316371,0.9004217271071279
90_350_2,0.6689240057324093,0.12421786919966132
85_400_0,0.9211536929260101,0.8938209930573215
38_450_1,0.9881888978071351,0.9996868639878128
85_250_0,0.22656347950119643,0.10671627335219308
84_350_2,0.6111771891766673,0.07582425496544001
84_400_0,0.7945747956763846,0.2951361312139512
84_250_0,0.13675975829187756,0.042990296375045735
89_300_0,0.45803715104827597,0.5173962101246217
93_350_1,0.7059644374585134,0.3444827144948633
87_350_3,0.8044501583856166,0.0
89_350_0,0.7217825391497983,0.6128629113064615
89_250_0,0.2960986875410715,0.4948017452790801
91_350_1,0.8243016230000396,0.10614883344422138
91_350_3,0.8282638974017553,0.0
85_300_0,0.49240386721107365,0.20759283578494284
38_350_5,0.8189196766650876,0.427210114812368
86_350_1,0.8108828133819574,0.0
84_350_1,0.6111771891766673,0.0890431937786073
87_350_4,0.8127858850163698,0.0
38_250_1,0.19775570810692497,0.2280097026843317
85_350_2,0.8635030421153543,0.11853621100967733
84_350_3,0.614258340061892,0.059303028460078684
87_300_0,0.4142613050956077,0.16582702322591475
86_350_2,0.8108828133819574,0.0
38_300_1,0.31092809555460266,0.4687923468556841
38_250_0,0.17415564340866413,0.15611651191583042
86_300_0,0.3860059798989886,0.007846155478208088
86_350_3,0.8149589239310413,0.0
91_400_0,0.8892311812705607,0.4372293988097049
87_350_0,0.8214912132263396,0.21776408811445455
91_350_2,0.8243016230000396,0.034173638150354665
86_250_0,0.19730503364949417,0.0
89_350_1,0.710849689177964,0.4380661901573906
89_450_0,0.8992124645498434,1.0
38_350_3,0.8104581058245867,0.5906045913782979
38_350_1,0.8160525860470657,0.9722799938629576
86_450_0,0.9281577951476869,0.4154654325408391
93_400_0,0.8553073638331675,0.7104351260096099
90_350_3,0.6719927419507612,0.08485793634000734
87_400_0,0.9377244838961057,0.3805182095443291
38_350_4,0.8136729751037257,0.44544731871619
90_400_0,0.8270376956910976,0.33242160090181944
87_350_1,0.8003740478365328,0.0
87_450_0,0.9531448428715666,0.7136789680950413
93_450_0,0.8971580914480483,0.955257920343851
85_350_0,0.8511822027685271,0.3672714400018813
38_400_1,0.9816165145021941,0.9846573025395444
87_350_2,0.8003740478365328,0.0
90_450_0,0.8840262172973721,0.8102473831824942
38_450_0,0.9778530588838248,0.9506512758203932
89_400_0,0.8516701068810205,0.8870256359750139
85_350_3,0.8675791526644382,0.09455464714157133
84_300_0,0.27408766088144637,0.09868728205311317
38_350_2,0.8104581058245867,0.7821211436097634
93_250_0,0.23932782083568768,0.042815456611469294
90_350_0,0.6900669352072998,0.16831972186638575
93_350_3,0.7090005379283033,0.17718213551742604
93_350_0,0.7227888755930278,0.2796358555733472
90_300_0,0.3923241549311196,0.1699672072669393
89_350_2,0.710849689177964,0.30744503436969606
90_350_4,0.6792264883564559,0.13605168481040894
38_300_0,0.32879866145112385,0.3488944899142594
93_350_2,0.7059644374585134,0.24013068415994196
91_300_0,0.508033754997125,0.09031861754693964
86_350_4,0.8238443425659665,0.0
85_450_0,0.9323366575740261,1.0
93_350_4,0.7151698967377337,0.025996782306693063
90_350_1,0.6689240057324093,0.15860408653186803
85_350_1,0.8635030421153543,0.154181697133948
91_250_0,0.2394745934079148,0.06487833141605356
89_350_4,0.7217825391497983,0.29775080071279997
86_350_0,0.801711553347119,0.02862490260538067
84_450_0,0.8689666635232582,0.3685037357933218
38_400_0,0.9729807091560797,0.9664602447962052
