,Predicted Conversion,Measured Conversion
86_450_0,0.9468202272181417,0.4154654325408391
85_250_0,0.20044843168671822,0.10671627335219308
84_350_3,0.5587399587433192,0.059303028460078684
90_350_2,0.7286582075679664,0.12421786919966132
38_250_1,0.18846430864898892,0.2280097026843317
93_350_1,0.708415160685705,0.3444827144948633
87_350_0,0.779261373923853,0.21776408811445455
85_350_1,0.8037680557918726,0.154181697133948
91_400_0,0.8791264630773367,0.4372293988097049
90_300_0,0.728409152848472,0.1699672072669393
91_350_4,0.7813241540198483,0.18047666522740397
89_450_0,0.9418936337025636,1.0
86_350_3,0.7676595035650968,0.0
87_450_0,0.9453498621978851,0.7136789680950413
90_350_4,0.7103400461740543,0.13605168481040894
38_350_4,0.7831084280566614,0.44544731871619
93_350_0,0.7474420225313573,0.2796358555733472
38_400_0,0.9819347439617054,0.9664602447962052
85_350_0,0.8397190949580208,0.3672714400018813
38_300_1,0.3049882745716621,0.4687923468556841
87_350_4,0.7375489799986765,0.0
85_450_0,0.9664703678181062,1.0
84_350_0,0.6055277137201129,0.11978795960210975
89_300_0,0.7796570283226606,0.5173962101246217
93_450_0,0.8799640248797357,0.955257920343851
91_250_0,0.3650723813540317,0.06487833141605356
91_350_1,0.812600322960171,0.10614883344422138
89_350_1,0.7702416886853928,0.4380661901573906
93_350_2,0.7014926657621235,0.24013068415994196
85_300_0,0.49193238245300114,0.20759283578494284
87_350_3,0.759108722373611,0.0
87_300_0,0.36471656779261186,0.16582702322591475
89_400_0,0.9041142798244874,0.8870256359750139
84_400_0,0.8342516171545853,0.2951361312139512
38_350_5,0.7740379410151493,0.427210114812368
90_350_3,0.7226525903312674,0.08485793634000734
85_350_4,0.7602522136698058,0.15874486550759298
91_350_0,0.8466579531357119,0.1977881446955244
91_300_0,0.7510977251528185,0.09031861754693964
85_350_2,0.7920608407269084,0.11853621100967733
90_350_1,0.73630880579523,0.15860408653186803
38_350_0,0.816724975825047,0.9004217271071279
38_450_0,0.9820279950155413,0.9506512758203932
86_300_0,0.30929636239430086,0.007846155478208088
91_450_0,0.9112231555201222,0.9281738554801028
38_350_3,0.7870646597770791,0.5906045913782979
84_450_0,0.8636487771059671,0.3685037357933218
86_400_0,0.9429353608792564,0.17174948482295238
89_250_0,0.501201767158247,0.4948017452790801
90_400_0,0.8875349389241746,0.33242160090181944
87_400_0,0.9400743289517187,0.3805182095443291
86_350_0,0.7718344095425391,0.02862490260538067
90_350_0,0.7589389532802469,0.16831972186638575
86_250_0,0.14417703550521457,0.0
87_350_1,0.7635979137278222,0.0
38_350_2,0.7917554956231885,0.7821211436097634
86_350_1,0.7721837155976716,0.0
89_350_2,0.7633191937618116,0.30744503436969606
84_350_1,0.5791211394816568,0.0890431937786073
84_350_4,0.5454739083228202,0.04248792085417002
89_350_3,0.7575343579899697,0.2439596565299827
90_450_0,0.9186506817926906,0.8102473831824942
84_250_0,0.09652229032395761,0.042990296375045735
84_350_2,0.5718598873163397,0.07582425496544001
38_300_0,0.30165806002585854,0.3488944899142594
89_350_0,0.7628830946085497,0.6128629113064615
85_350_3,0.7854621715118568,0.09455464714157133
38_400_1,0.9905005337467172,0.9846573025395444
93_400_0,0.845042597679852,0.7104351260096099
38_250_0,0.14581170387319417,0.15611651191583042
86_350_4,0.7464586640922513,0.0
90_250_0,0.3513880897564316,0.1655352610685138
86_350_2,0.7692140444240203,0.0
93_350_3,0.6966445720110941,0.17718213551742604
84_300_0,0.19083833490487023,0.09868728205311317
38_450_1,0.9903076762370611,0.9996868639878128
91_350_3,0.7933729528294411,0.0
38_350_1,0.8009284110660504,0.9722799938629576
93_250_0,0.31142455903870353,0.042815456611469294
93_300_0,0.6846283927242014,0.11500350379071335
89_350_4,0.7428367612934546,0.29775080071279997
87_350_2,0.7606282425541709,0.0
93_350_4,0.6927565064273985,0.025996782306693063
91_350_2,0.7995914350800362,0.034173638150354665
87_250_0,0.21471152148006456,0.15054885690851846
85_400_0,0.9633683304359199,0.8938209930573215
