,Predicted Conversion,Measured Conversion
73_250_0,0.3231547619926802,0.4710072195886609
65_300_0,0.2856127131270798,0.8134738524018451
69_400_0,0.7931403455549527,0.988380498403829
77_400_0,0.8592768676131047,0.6324787654450131
75_300_0,0.4635346816641431,0.7065898397618652
74_350_0,0.7383747364990636,1.0
74_450_0,0.7209154626610043,1.0
73_450_0,0.7407226240516933,0.9942532585186497
83_450_0,0.8141723201504537,0.996400335842682
76_400_0,0.8940019537690381,0.5416765744430103
67_300_0,0.37481626793649686,0.512376181107476
76_300_0,0.3127635290417288,0.2514936492364485
67_450_0,0.9031250688481275,0.9874856347201096
65_350_0,0.3335711566537918,0.9940412353519896
69_350_0,0.4269137302081555,0.4989454515781198
74_300_0,0.5561257562651502,0.6886020921300535
68_300_0,0.3146011767483125,0.19739711524783285
66_300_0,0.22566380120474366,0.5863479800776563
75_450_0,0.6116626894654521,1.0
68_450_0,0.8489298346733953,0.963471608205364
65_250_0,0.22138375355488182,0.43321450411611934
68_350_0,0.46089593538598317,0.5508829780428409
69_450_0,0.8432517944204632,1.0
76_350_0,0.43709630427802104,0.34312425649808737
69_300_0,0.2646133405318969,0.054859118205534116
66_250_0,0.1604954634054964,0.20377694978593847
75_250_0,0.19466542512708368,0.04950121583024065
73_400_0,0.7315863444802458,1.0
82_450_0,0.7230673457759768,0.9507971457754856
77_250_0,0.18720086067741126,0.16867450349553653
67_350_0,0.5611477069584185,0.8196449673889966
75_350_0,0.6244789688577409,0.9530922411770472
78_250_0,0.15152946422207345,0.0
78_300_0,0.21429788126675334,0.15121255925316576
82_250_0,0.16505635758845064,0.16197945150678295
66_450_0,0.7443999158796301,1.0
78_350_0,0.316061479761395,0.168697438436943
67_250_0,0.20522314011243042,0.13989290311948158
74_400_0,0.7134116983342704,1.0
65_400_0,0.9207613116347004,0.9909595222016541
76_450_0,0.9106782834463061,0.8668179346303692
73_350_0,0.8319447817526179,0.9970481268292124
83_250_0,0.14549965119427,0.10094428580358343
78_400_0,0.6608100966958197,0.4558780213526778
74_250_0,0.21763645446250948,0.3792263797117768
66_350_0,0.31415969443606057,1.0
82_350_0,0.3366460150936799,0.980309151680227
78_450_0,0.6940407858937833,0.7980528696142676
73_300_0,0.7089084236369417,0.8423630161645494
66_400_0,0.7039676221814762,1.0
67_400_0,0.8494203539494312,0.9915560710213698
83_400_0,0.7694949352645528,0.9848895552908
82_400_0,0.6637386487351946,0.980123111633628
83_300_0,0.19147698949913372,0.2971614432058214
65_450_0,0.9333910211008039,0.9845466529551978
82_300_0,0.24874377052303143,0.39152727500792783
83_350_0,0.21182983889754792,0.9390123453841518
76_250_0,0.21890446436441383,0.17522414925857832
77_350_0,0.34950598963987417,0.36022129054025664
69_250_0,0.17498783952316865,0.08462297988013084
68_250_0,0.1864640014065135,0.09098822512592368
77_300_0,0.2628033492044728,0.04936463794109434
75_400_0,0.5846253757289025,0.9927286735101684
68_400_0,0.796963062137743,0.9504524825915591
77_450_0,0.8757656015620516,0.906906839933098
