,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.24703152974446616,0.001669168472290039,0.6796314913193627,0.889188012176282,mae,10,auto,20,0,5,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'mae'}",71,0.6820091277647511,0.8985404055352124,0.7059788181618063,0.8761917825515014,0.6519447797166331,0.8928318484421319,0.009066223895394925,0.0002358539450253577,0.02218615266170818,0.009480625660305214
1,0.12476754188537598,0.0050029754638671875,-0.19323210718659972,-0.07527860701604132,mae,5,sqrt,,0.4,1,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",649,-0.15525330189988207,-0.004695891513110784,-0.14980040636984682,-0.09219431068212325,-0.27170006487669185,-0.1289456188528899,0.0023588748897507665,6.743495761743046e-07,0.056559283687929396,0.05211592500628695
2,0.10475039482116699,0.001668373743693034,-0.19323210718660097,-0.07527860701604176,mae,5,auto,20,0.4,5,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.003066228647781388,0.00023641590257584224,0.05655928368792886,0.052115925006286874
3,0.3019193808237712,0.002826690673828125,0.3865973423161215,0.46329104309781854,mae,10,auto,50,0.1,1,5,50,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'mae'}",295,0.38229061941613396,0.41021892739297267,0.47428232917374136,0.46817384436798504,0.30623275054972887,0.5114803575324979,0.018264854421919018,0.0004784134005414457,0.06887183762094078,0.04148373673026126
4,0.03302629788716634,0.001501162846883138,-0.19323210718660097,-0.07527860701604176,mae,3,sqrt,5,0.4,2,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.0004078293805121321,4.49566384116203e-07,0.05655928368792886,0.052115925006286874
5,0.1291041374206543,0.006171782811482747,-0.10719842326764849,0.004225741439527179,mae,10,sqrt,20,0.1,3,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",544,-0.059935877728154674,0.06797175749739748,-0.05554254445342611,-0.005736545262885695,-0.2025414828856882,-0.049557987915930246,0.00593438287216664,0.0006244989957284498,0.0686933024150237,0.04849567425029584
6,0.03402789433797201,0.0016682147979736328,-0.19323210718660097,-0.07527860701604176,mae,5,sqrt,50,0.4,1,5,25,"{'n_estimators': 25, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.0022733725674944916,0.0002358537843512359,0.05655928368792886,0.052115925006286874
7,0.2578742504119873,0.0021680196126302085,0.579866778221102,0.740077394689207,mae,5,auto,5,0,2,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'auto', 'max_depth': 5, 'criterion': 'mae'}",137,0.6548105827031618,0.7307091600810904,0.5958587030518854,0.7684467768505564,0.4922178824978797,0.7210762471359742,0.006411070972623966,0.0004714270419015834,0.06750761394910429,0.020442025928864682
8,0.10408377647399902,0.0016686121622721355,-0.19323210718660097,-0.07527860701604176,mae,,auto,20,0.4,3,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.003897566188715614,0.0002357418750166265,0.05655928368792886,0.052115925006286874
9,0.011676629384358725,0.0010005633036295574,-0.07875924396181827,0.026709429174304893,mae,,sqrt,5,0.1,3,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'mae'}",505,-0.03371176810261356,0.09685881639537808,0.07636938187815956,0.11221508998042763,-0.27170006487669296,-0.12894561885289102,0.0004710894652535833,4.052336624139774e-07,0.14596499611466432,0.11024313815945258
