,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1354223092397054,0.10977578163146973,-0.10326258233135013,-0.008953934234471994,10,sqrt,20,0.4,5,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 10}",520,-0.11352365449362446,-0.005436368437889305,-0.00022525069522161265,-0.000386261367844698,-0.19805695264844791,-0.02103917289768198,0.00736125705026505,0.004445190546030996,0.08104015716899209,0.008790739085908827
1,0.43827025095621747,0.10822526613871257,-0.09996728725348954,-0.011072570759780223,,auto,20,0.4,1,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': None}",459,-0.07328844055054118,-2.1375731156902944e-05,-0.002341753789493861,-0.0027604902022089206,-0.22669288625818096,-0.030435846345974852,0.07464181939350503,0.0016472237580784893,0.09346362605706392,0.01373749171893162
2,0.7358951568603516,0.10937722524007161,-0.10068558241677524,-0.004256260047324378,,auto,20,0.1,2,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': None}",468,-0.09368936018204566,-0.0017254087740437019,-0.0009072923710669033,-0.001193129808561677,-0.20965119479935712,-0.009850241559367756,0.007650619794351519,1.4740019632173705e-06,0.08530970615827671,0.003961506623502897
3,0.2019036610921224,0.11398983001708984,-0.10840602202305859,-0.009500348596225802,5,sqrt,20,0.1,1,5,100,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5}",637,-0.09871679424117952,-0.0024997398641795066,-0.0026632806290269873,-0.00310336571070291,-0.2261918840643249,-0.022897940213794987,0.0069220970665048506,0.0042631643707311305,0.09145555678504022,0.009476732450376127
4,0.8806577523549398,0.10938175519307454,0.5294521869496291,0.8367751846732796,3,auto,50,0,3,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3}",84,0.5067068597183817,0.8590504264070773,0.5624812977059457,0.8369423120136443,0.5187936014818575,0.814332815599117,0.044743127079150645,7.917826410577732e-06,0.024026480713880007,0.018256270662505264
5,0.6440226236979166,0.11118642489115398,-0.1090282377721156,-0.012068198105798622,10,auto,,0.4,5,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': 10}",658,-0.09114829889989173,-0.0013820520104981249,-0.00013947967717076182,-0.0002723455332447333,-0.2383313833548737,-0.03455019677365301,0.021209836826222583,0.0025524882728789476,0.09800196279467316,0.015903627682439192
6,0.5974240303039551,0.11094443003336589,0.5208629777627557,0.894152872207029,10,auto,20,0,3,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': 10}",89,0.46860593889204816,0.9079515728975927,0.5252714369991789,0.8902483019501717,0.5693499399147474,0.8842587417733229,0.007305156268994646,0.0022281185248927667,0.041152579174712524,0.010058887060334368
7,0.13040407498677573,0.10976274808247884,-0.10032681755970511,-0.008576605941931584,5,sqrt,20,0.4,5,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5}",463,-0.10200934935701511,-0.003071516834460164,-0.0006465356275691114,-0.0008950445441604504,-0.20039223050713106,-0.02176325644717414,0.004007443050658156,0.0005504147287880776,0.08150317430531678,0.009366609901423635
8,1.4034825960795085,0.11183516184488933,0.4608913179599946,0.6789617023896679,5,auto,5,0,5,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'auto', 'max_depth': 5}",128,0.44609876004803556,0.7414880478315218,0.5299427303687019,0.6645490100362159,0.4053907213555388,0.630848049301266,0.018928100360611596,0.0034756557772032265,0.051885116129066364,0.04630404297934965
9,0.16106057167053223,0.10927597681681316,-0.09791177457882481,-0.009276420122145135,5,sqrt,5,0.1,1,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5}",431,-0.09124390801976401,-0.0013943636480713284,-0.004149432726141322,-0.00466850641972516,-0.2004022820022906,-0.021766390298638916,0.015311612914278674,0.000975612735875111,0.08020858834903029,0.008932320302495925
