,X,Y,Yfit
0,111.898,24,0.0582886
1,113.483,24.5,0.0586805
2,115.069,27.5,0.0590772
3,116.654,24.5,0.0594785
4,118.24,24,0.0598849
5,119.823,23,0.0602956
6,121.408,28.5,0.060712
7,122.991,27,0.0611333
8,124.575,26.5,0.0615604
9,126.158,25,0.0619929
10,127.74,26.5,0.0624312
11,129.322,23.5,0.0628756
12,130.904,26,0.0633266
13,132.486,21.5,0.0637843
14,134.067,27,0.0642488
15,135.648,23,0.0647209
16,137.228,19,0.0652005
17,138.808,22,0.0656885
18,140.387,19,0.0661852
19,141.968,24,0.066692
20,143.546,22,0.0672081
21,145.125,20.5,0.0677357
22,146.703,28,0.0682749
23,148.281,27,0.0688274
24,149.858,21,0.069394
25,151.436,26.5,0.0699771
26,153.012,23,0.0705775
27,154.589,24,0.0711986
28,156.165,26.5,0.0718425
29,157.74,25,0.0725127
30,159.315,25,0.0732139
31,160.891,24.5,0.073952
32,162.466,21,0.074733
33,164.04,22,0.075566
34,165.614,24,0.0764631
35,167.188,29,0.07744
36,168.76,22,0.0785166
37,170.333,20,0.0797241
38,171.905,24,0.0811025
39,173.478,25.5,0.0827139
40,175.049,23,0.0846453
41,176.621,26,0.0870402
42,178.192,26.5,0.090123
43,179.762,25,0.0942806
44,181.333,27.5,0.100228
45,182.903,24.5,0.109369
46,184.472,26,0.124837
47,186.041,20,0.154856
48,187.61,26,0.227097
49,189.179,22.5,0.488502
50,190.747,27.5,3.68921
51,192.314,27,3.37225
52,193.882,27,0.477541
53,195.449,23,0.227629
54,197.016,28,0.158402
55,198.582,25,0.13018
56,200.148,24.5,0.116188
57,201.713,24,0.108423
58,203.278,21.5,0.103805
59,204.844,20.5,0.100951
60,206.407,33,0.0991686
61,207.971,23,0.0980689
62,209.536,23.5,0.0974294
63,211.099,25.5,0.0971129
64,212.662,24.5,0.0970294
65,214.224,26,0.0971195
66,215.787,25,0.0973425
67,217.349,25.5,0.0976694
68,218.91,21,0.0980792
69,220.471,24,0.0985569
70,222.033,26,0.0990914
71,223.593,24,0.0996731
72,225.153,26,0.100296
73,226.713,22.5,0.100955
74,228.273,24.5,0.101645
75,229.832,24,0.102364
76,231.39,26,0.103109
77,232.948,26,0.103878
78,234.506,26,0.104669
79,236.064,22.5,0.105481
80,237.62,23,0.106312
81,239.178,24,0.107164
82,240.734,21,0.108033
83,242.29,24,0.10892
84,243.847,25.5,0.109825
85,245.402,23.5,0.110747
86,246.957,23.5,0.111685
87,248.512,24,0.11264
88,250.065,20.5,0.113611
89,251.62,23,0.1146
90,253.174,22,0.115604
91,254.727,26,0.116625
92,256.279,23.5,0.117661
93,257.833,26,0.118716
94,259.385,26,0.119787
95,260.936,23.5,0.120873
96,262.488,29.5,0.121978
97,264.039,22,0.123099
98,265.59,23.5,0.124238
99,267.139,24.5,0.125394
100,268.69,23,0.126568
101,270.239,23,0.12776
102,271.789,23.5,0.128971
103,273.338,21.5,0.130201
104,274.886,22,0.131448
105,276.434,23,0.132715
106,277.982,25.5,0.134002
107,279.529,26.5,0.135309
108,281.077,25,0.136637
109,282.624,26.5,0.137985
110,284.17,22,0.139353
111,285.716,24,0.140743
112,287.261,22.5,0.142155
113,288.806,24,0.143589
114,290.352,28.5,0.145047
115,291.897,23,0.146528
116,293.441,23.5,0.148031
117,294.985,27.5,0.14956
118,296.527,22,0.151111
119,298.071,23,0.15269
120,299.614,21,0.154294
121,301.156,26,0.155923
122,302.699,23.5,0.157581
123,304.24,27,0.159264
124,305.781,24,0.160976
125,307.322,26,0.162717
126,308.863,22.5,0.164488
127,310.403,23,0.166288
128,311.943,25,0.168119
129,313.483,25.5,0.169982
130,315.022,25,0.171876
131,316.561,23,0.173804
132,318.099,24.5,0.175765
133,319.637,25.5,0.17776
134,321.175,23,0.179792
135,322.713,21,0.18186
136,324.25,22.5,0.183965
137,325.786,24.5,0.186107
138,327.322,24.5,0.188288
139,328.858,24,0.19051
140,330.394,25,0.192774
141,331.929,27,0.195079
142,333.464,25,0.197428
143,334.998,23.5,0.199821
144,336.532,24.5,0.202259
145,338.066,26,0.204745
146,339.599,25,0.207279
147,341.133,23,0.209864
148,342.666,26,0.212499
149,344.197,20.5,0.215184
150,345.73,25.5,0.217926
151,347.261,25.5,0.220721
152,348.793,26,0.223576
153,350.323,27,0.226487
154,351.853,22.5,0.229459
155,353.384,23.5,0.232496
156,354.913,22,0.235594
157,356.443,24.5,0.238761
158,357.972,25,0.241995
159,359.5,26,0.245298
160,361.029,21,0.248678
161,362.557,19,0.252131
162,364.085,24.5,0.255663
163,365.612,22.5,0.259274
164,367.139,20,0.262968
165,368.665,23,0.266748
166,370.192,24,0.270619
167,371.718,25.5,0.274582
168,373.242,23.5,0.278636
169,374.768,28,0.282795
170,376.292,27,0.287052
171,377.817,25,0.29142
172,379.341,25.5,0.295897
173,380.864,25.5,0.300487
174,382.387,25,0.305198
175,383.91,24,0.310035
176,385.433,25,0.315003
177,386.956,26.5,0.320107
178,388.478,24.5,0.32535
179,389.999,26,0.330739
180,391.52,23.5,0.336282
181,393.041,24.5,0.341988
182,394.561,23.5,0.34786
183,396.081,22,0.353909
184,397.602,21,0.360149
185,399.12,22,0.366573
186,400.639,26.5,0.373206
187,402.158,23,0.380055
188,403.677,24,0.387133
189,405.194,22,0.394441
190,406.712,24.5,0.402007
191,408.229,25.5,0.409837
192,409.745,21.5,0.417945
193,411.262,25,0.42636
194,412.778,25.5,0.435089
195,414.294,22,0.444158
196,415.809,28,0.453583
197,417.324,24.5,0.463395
198,418.839,23,0.47362
199,420.352,25.5,0.484275
200,421.867,24.5,0.49542
201,423.38,21.5,0.507063
202,424.893,25,0.519258
203,426.406,27,0.53205
204,427.919,28,0.545491
205,429.431,26,0.559626
206,430.943,23,0.574528
207,432.454,27.5,0.590259
208,433.966,25.5,0.606921
209,435.476,26.5,0.624573
210,436.986,24.5,0.64334
211,438.497,23,0.66336
212,440.006,27,0.684731
