,X,Y,Yfit
0,116.658,30.5,0.24202
1,117.805,29,0.248287
2,118.949,31.5,0.254813
3,120.096,31.5,0.261646
4,121.242,27.5,0.268782
5,122.386,27.5,0.276234
6,123.532,29.5,0.284047
7,124.675,29.5,0.292209
8,125.819,28,0.300773
9,126.963,24,0.309758
10,128.108,30.5,0.319201
11,129.251,29.5,0.329108
12,130.394,27.5,0.339528
13,131.537,28.5,0.350498
14,132.68,31,0.362059
15,133.821,33.5,0.374231
16,134.964,28,0.387107
17,136.106,24,0.400704
18,137.247,30,0.41508
19,138.389,27.5,0.430322
20,139.53,30.5,0.446474
21,140.671,31,0.463625
22,141.811,28,0.481846
23,142.952,29,0.501261
24,144.092,31,0.521943
25,145.231,29.5,0.544005
26,146.37,28,0.567594
27,147.509,28,0.592858
28,148.648,29,0.619958
29,149.787,29,0.649081
30,150.926,31,0.680434
31,152.064,28.5,0.714222
32,153.203,22,0.750773
33,154.341,30,0.790327
34,155.477,29,0.833184
35,156.615,33.5,0.879894
36,157.751,33.5,0.930753
37,158.889,29.5,0.986471
38,160.025,32,1.04747
39,161.16,28,1.1145
40,162.297,26,1.18859
41,163.433,30,1.27055
42,164.568,34,1.36154
43,165.703,31.5,1.46303
44,166.838,28,1.5767
45,167.972,30,1.70447
46,169.107,32,1.84903
47,170.24,28.5,2.01303
48,171.374,33,2.2006
49,172.508,28,2.41629
50,173.64,33,2.66553
51,174.774,31.5,2.95672
52,175.906,34,3.29848
53,177.04,30.5,3.70466
54,178.171,33.5,4.19011
55,179.303,33.5,4.77876
56,180.434,34.5,5.50028
57,181.567,32.5,6.39964
58,182.698,35.5,7.53467
59,183.829,34,8.99546
60,184.96,45,10.9145
61,186.089,43,13.4891
62,187.219,45,17.0429
63,188.349,48,22.0837
64,189.479,56,29.4346
65,190.608,65,40.3637
66,191.738,84,56.5431
67,192.866,110,78.5156
68,193.995,126.5,100.791
69,195.123,132,108.082
70,196.251,128,93.2385
71,197.378,97,69.798
72,198.505,73,49.9073
73,199.634,64.5,35.9287
74,200.761,53,26.5782
75,201.886,47,20.2806
76,203.013,39.5,15.9274
77,204.139,38,12.8499
78,205.266,42.5,10.6203
79,206.392,35,8.97884
80,207.516,31.5,7.75773
81,208.642,37.5,6.84518
82,209.766,34,6.17571
83,210.892,39,5.70474
84,212.016,38,5.41205
85,213.139,34.5,5.2925
86,214.263,36,5.35995
87,215.386,38,5.64959
88,216.511,39,6.2231
89,217.634,32,7.16032
90,218.755,35,8.52245
91,219.878,38,10.2161
92,221.001,37.5,11.712
93,222.123,41,12.0892
