,X,Y,Yfit
218,360.319,23,0.0110839
219,361.408,24.5,0.0111371
220,362.497,22,0.0111945
221,363.585,28.5,0.0112562
222,364.674,27,0.0113225
223,365.761,26,0.0113931
224,366.85,23,0.0114684
225,367.937,27,0.0115484
226,369.025,26,0.0116332
227,370.112,26,0.011723
228,371.198,26,0.0118177
229,372.285,27,0.0119177
230,373.371,24,0.012023
231,374.457,26,0.0121337
232,375.543,23.5,0.0122502
233,376.629,26,0.0123725
234,377.714,26,0.0125006
235,378.798,28.5,0.0126349
236,379.884,29,0.0127758
237,380.967,28.5,0.012923
238,382.052,25,0.0130772
239,383.136,24,0.0132385
240,384.221,23,0.0134072
241,385.304,29,0.0135833
242,386.387,26.5,0.0137672
243,387.469,25,0.0139592
244,388.552,25,0.01416
245,389.635,32.5,0.0143696
246,390.717,26,0.0145882
247,391.798,25.5,0.0148163
248,392.88,27,0.0150547
249,393.962,27.5,0.0153035
250,395.042,28,0.0155628
251,396.124,27,0.015834
252,397.204,24,0.0161167
253,398.283,26.5,0.0164117
254,399.365,26,0.0167206
255,400.444,29.5,0.0170424
256,401.523,28,0.0173786
257,402.603,26,0.0177302
258,403.682,26,0.0180975
259,404.761,21.5,0.0184815
260,405.84,23,0.0188832
261,406.917,25,0.0193027
262,407.995,26,0.0197421
263,409.072,29,0.0202018
264,410.15,25,0.0206837
265,411.227,25.5,0.0211882
266,412.305,28,0.0217177
267,413.381,24.5,0.0222721
268,414.457,24.5,0.0228538
269,415.533,28,0.0234647
270,416.609,27,0.0241065
271,417.685,26,0.0247811
272,418.76,24,0.0254901
273,419.836,22.5,0.0262372
274,420.911,27,0.0270233
275,421.985,28.5,0.0278512
276,423.06,27,0.0287254
277,424.133,29,0.0296465
278,425.208,27,0.0306216
279,426.281,22,0.0316509
280,427.354,29.5,0.0327403
281,428.428,29,0.0338956
282,429.5,28.5,0.0351185
283,430.573,23,0.0364179
284,431.645,28.5,0.0377975
285,432.717,28.5,0.0392654
286,433.788,27,0.0408275
287,434.86,21,0.0424949
288,435.931,30,0.044274
289,437.002,24.5,0.0461763
290,438.073,27.5,0.0482134
291,439.143,23,0.0503961
292,440.214,26,0.0527426
293,441.283,25.5,0.0552625
294,442.353,30,0.0579807
295,443.422,27.5,0.0609128
296,444.491,28.5,0.0640844
297,445.56,29.5,0.0675222
298,446.629,27,0.0712565
299,447.698,27,0.075322
300,448.766,20.5,0.0797545
301,449.833,25.5,0.084599
302,450.901,29,0.0899179
303,451.968,29,0.0957635
304,453.036,25.5,0.10222
305,454.102,25,0.109354
306,455.168,30,0.117277
307,456.236,26,0.126128
308,457.301,26,0.136008
309,458.367,30.5,0.147123
310,459.433,28,0.159677
311,460.498,26.5,0.173912
312,461.562,26.5,0.190139
313,462.627,27.5,0.20878
314,463.692,29,0.230315
315,464.756,24,0.255346
316,465.82,27.5,0.28469
317,466.883,28.5,0.31935
318,467.946,26,0.360719
319,469.011,29.5,0.410719
320,470.073,30.5,0.471581
321,471.136,27,0.546924
322,472.198,27.5,0.641432
323,473.26,25,0.762117
324,474.322,27,0.91925
325,475.384,25.5,1.12844
326,476.445,31.5,1.41371
327,477.506,30,1.81414
328,478.566,26.5,2.39274
329,479.628,28.5,3.25563
330,480.688,31,4.55884
331,481.749,32,6.48288
332,482.808,31.5,8.92683
333,483.867,37,10.8074
334,484.927,33.5,10.4395
335,485.986,33.5,8.21022
336,487.045,29,5.86356
337,488.103,34,4.13333
338,489.16,31,2.9771
339,490.219,28,2.20893
340,491.277,31,1.68905
341,492.334,25,1.32656
342,493.392,24,1.06573
343,494.448,30,0.8734
344,495.505,33,0.727683
345,496.561,30.5,0.61513
346,497.618,27.5,0.526391
347,498.674,24.5,0.455409
348,499.73,30,0.397745
349,500.784,25.5,0.35038
350,501.84,25.5,0.310879
351,502.895,31,0.277698
352,503.95,27,0.249539
353,505.004,25.5,0.225468
354,506.058,25.5,0.204712
355,507.112,28.5,0.186695
356,508.165,31.5,0.17097
357,509.219,25.5,0.157141
358,510.272,25,0.144938
359,511.325,30,0.134107
360,512.377,28,0.124459
361,513.43,30,0.115813
362,514.482,28,0.108048
363,515.533,30.5,0.10105
364,516.585,30.5,0.094708
365,517.637,31,0.0889493
366,518.687,32,0.0837138
367,519.737,26.5,0.0789311
368,520.788,29,0.0745463
369,521.838,30,0.0705243
370,522.888,29.5,0.0668224
371,523.937,29.5,0.0634108
372,524.987,26,0.0602541
373,526.036,29,0.0573328
374,527.085,30.5,0.0546216
375,528.134,33.5,0.052101
376,529.183,29.5,0.0497532
377,530.23,33,0.047567
378,531.279,30,0.0455202
379,532.326,35.5,0.0436083
380,533.374,28.5,0.0418147
381,534.421,31,0.0401331
382,535.467,29,0.0385541
383,536.514,29,0.0370669
384,537.56,31,0.035667
385,538.606,31,0.0343464
386,539.652,26.5,0.0330994
387,540.698,32.5,0.0319205
388,541.744,28,0.0308048
389,542.788,25,0.0297498
390,543.833,24,0.0287485
391,544.877,30.5,0.0277989
392,545.922,28.5,0.0268959
393,546.966,26.5,0.026038
394,548.009,29,0.0252224
395,549.054,30,0.0244439
396,550.097,28.5,0.0237034
397,551.14,32,0.0229968
398,552.183,30.5,0.0223223
399,553.224,29,0.0216791
400,554.267,28.5,0.0210628
401,555.309,29.5,0.0204739
402,556.35,29.5,0.0199105
403,557.392,28,0.0193703
404,558.433,32,0.0188529
405,559.475,29,0.0183562
406,560.515,31,0.0178803
407,561.555,27.5,0.0174234
408,562.595,29,0.0169843
409,563.635,25,0.0165621
410,564.675,27,0.0161561
411,565.714,30,0.0157656
412,566.754,28,0.0153893
413,567.792,27,0.0150275
414,568.831,27,0.0146784
415,569.868,25.5,0.0143425
416,570.907,27,0.0140177
417,571.945,26,0.0137045
418,572.982,25,0.0134025
419,574.019,24.5,0.0131107
420,575.057,27.5,0.0128284
421,576.094,28,0.0125558
422,577.129,29,0.0122926
423,578.166,26,0.0120374
424,579.202,32.5,0.0117907
425,580.238,26,0.0115518
426,581.273,28,0.0113206
427,582.309,25,0.0110964
428,583.343,31,0.0108794
429,584.379,29.5,0.0106686
430,585.413,27,0.0104646
431,586.447,29,0.0102666
432,587.481,28,0.0100745
433,588.514,24,0.00988806
434,589.548,27,0.00970685
435,590.581,27.5,0.00953096
436,591.615,28.5,0.00935988
437,592.646,22.5,0.00919405
438,593.679,26.5,0.00903249
439,594.711,27,0.00887551
440,595.743,28.5,0.00872277
441,596.775,26.5,0.00857414
442,597.806,29,0.00842959
443,598.836,23.5,0.00828899
444,599.867,27.5,0.00815192
445,600.898,26,0.00801839
446,601.928,25,0.00788841
447,602.959,30.5,0.0077616
