,X,Y,Yfit
0,116.658,24,0.0636073
1,117.805,30,0.0650761
2,118.949,26.5,0.0666033
3,120.096,28.5,0.0682005
4,121.242,29,0.0698665
5,122.386,28,0.0716038
6,123.532,28,0.0734232
7,124.675,26,0.0753217
8,125.819,23.5,0.0773112
9,126.963,28,0.0793959
10,128.108,23,0.0815842
11,129.251,27,0.0838773
12,130.394,24,0.0862863
13,131.537,25,0.0888195
14,132.68,30,0.0914858
15,133.821,28.5,0.0942901
16,134.964,23.5,0.0972528
17,136.106,27.5,0.100378
18,137.247,26.5,0.103678
19,138.389,28,0.107173
20,139.53,24,0.110872
21,140.671,26,0.114796
22,141.811,28.5,0.118959
23,142.952,25,0.12339
24,144.092,22.5,0.128105
25,145.231,25,0.133127
26,146.37,25.5,0.138491
27,147.509,28,0.144228
28,148.648,29,0.150375
29,149.787,26.5,0.156971
30,150.926,25.5,0.164063
31,152.064,27,0.171695
32,153.203,27,0.179939
33,154.341,29.5,0.188848
34,155.477,29.5,0.198485
35,156.615,27.5,0.208972
36,157.751,28.5,0.220371
37,158.889,28,0.232836
38,160.025,30,0.246458
39,161.16,25.5,0.261397
40,162.297,29,0.277875
41,163.433,24.5,0.296063
42,164.568,29,0.316205
43,165.703,27.5,0.338615
44,166.838,26,0.363646
45,167.972,27.5,0.391698
46,169.107,26,0.423337
47,170.24,29.5,0.459102
48,171.374,25,0.499854
49,172.508,24.5,0.546524
50,173.64,26,0.600211
51,174.774,26,0.662622
52,175.906,27,0.735474
53,177.04,27,0.821543
54,178.171,27,0.923728
55,179.303,27,1.04674
56,180.434,24,1.1963
57,181.567,25,1.38108
58,182.698,24,1.61201
59,183.829,26.5,1.90612
60,184.96,37,2.28818
61,186.089,29.5,2.79512
62,187.219,26,3.48852
63,188.349,28,4.46984
64,189.479,33.5,5.92111
65,190.608,33.5,8.17463
66,191.738,36,11.8302
67,192.866,44,17.811
68,193.995,52,27.0447
69,195.123,63,37.8153
70,196.251,66,41.4452
71,197.378,61,33.3846
72,198.505,49,22.6752
73,199.634,36.5,14.8879
74,200.761,33,10.0446
75,201.886,29.5,7.09312
76,203.013,27.5,5.23761
77,204.139,30,4.01818
78,205.266,32.5,3.17575
79,206.392,27.5,2.57121
80,207.516,26,2.1238
81,208.642,28,1.78291
82,209.766,27,1.5185
83,210.892,31.5,1.30884
84,212.016,25.5,1.1405
85,213.139,30,1.00326
86,214.263,33,0.889775
87,215.386,26.5,0.795065
88,216.511,32,0.715035
89,217.634,27,0.647055
90,218.755,29.5,0.588834
91,219.878,28.5,0.538431
92,221.001,27.5,0.494595
93,222.123,29,0.456274
94,223.245,32,0.422559
95,224.366,28,0.392772
96,225.488,23,0.366287
97,226.608,25.5,0.342699
98,227.73,25.5,0.321534
99,228.85,25,0.302541
100,229.969,29,0.285421
101,231.089,27.5,0.269914
102,232.209,26.5,0.255839
103,233.328,26,0.24304
104,234.447,30.5,0.23136
105,235.566,25.5,0.220677
106,236.685,29,0.210883
107,237.803,30.5,0.201892
108,238.922,28,0.193609
109,240.039,28.5,0.185983
110,241.157,24,0.178932
111,242.274,26.5,0.172412
112,243.391,23.5,0.166369
113,244.508,27,0.160761
114,245.625,27.5,0.155549
115,246.741,27.5,0.150703
116,247.857,29,0.146189
117,248.973,27,0.141979
118,250.088,25.5,0.138052
119,251.203,25.5,0.134382
120,252.318,25,0.13095
121,253.433,24.5,0.127739
122,254.547,22,0.124733
123,255.661,24.5,0.121916
124,256.776,22.5,0.119272
125,257.889,24,0.116796
126,259.003,26.5,0.114471
127,260.115,28.5,0.112291
128,261.229,27,0.11024
129,262.341,27,0.108317
130,263.453,26.5,0.106511
131,264.565,27,0.104813
132,265.677,30.5,0.103219
133,266.789,25,0.101721
134,267.9,30.5,0.100316
135,269.011,30,0.0989972
136,270.122,25,0.0977594
137,271.232,28,0.0965996
138,272.343,24.5,0.0955116
139,273.453,26.5,0.0944936
140,274.562,24,0.0935421
141,275.672,28,0.092652
142,276.781,27,0.0918221
143,277.89,24,0.0910488
144,278.999,27.5,0.0903294
145,280.108,25,0.0896616
146,281.216,30,0.0890436
147,282.324,27,0.0884729
148,283.431,23.5,0.0879478
149,284.539,23,0.0874657
150,285.645,28.5,0.0870262
151,286.752,25,0.0866264
152,287.859,27,0.0862652
153,288.965,29,0.0859417
154,290.071,23,0.0856542
155,291.177,28,0.0854014
