,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1458366870880127,0.11000647544860839,0.5768007886421674,0.7245885950841956,3,auto,,0,1,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': 3}",11,0.4588923766134395,0.7208253056166442,0.5833369628754602,0.729166121773296,0.5167116690594342,0.7177093212885557,0.6318564247313945,0.7186865486129994,0.6428597132888209,0.7156369585500624,0.5949179739775641,0.7537922521816829,0.599324440705735,0.7299621577625781,0.4540419197503249,0.7198281167229758,0.5961251620243156,0.7253776962337792,0.6939317318692854,0.714901472099382,0.005766616414087191,0.003167924915274917,0.07412224683408636,0.010937368996471322
1,0.13658769130706788,0.11087906360626221,0.3819552582769486,0.6025186582199272,,sqrt,50,0,3,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': None}",24,0.46991397292071435,0.7076385753711183,0.4406883707067035,0.6697166160287845,0.433321563328033,0.5495171324422858,0.5234044711746255,0.6816999923848295,0.46074803072350595,0.6212446292467733,0.34167817071940143,0.6221575867048668,0.3925704354191598,0.5639289345895001,0.07785647961201303,0.5580566371423428,0.3530140915504856,0.5727718957934713,0.3245996622574844,0.4784545824953005,0.006523729273193493,0.003452960837210188,0.11731532174401858,0.06717422145571858
2,0.13623085021972656,0.11146013736724854,0.19311335252820702,0.35889909802403186,3,sqrt,,0,5,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3}",40,0.0012656488114040076,0.3569746009668266,0.14966777251100838,0.3691656428909099,0.2764281478287137,0.40902675791651133,0.045571271902411614,0.29601832545659446,0.27426763949975186,0.41572507762590244,0.1088941011158475,0.28388683107809076,0.25219527874029624,0.367448697478005,0.29388661025511054,0.32842012559557116,0.23798523022818374,0.3840865543848361,0.3010558848536611,0.3782383668470711,0.0072379554148367395,0.0032213772865240216,0.10433126712523366,0.041764087820922745
3,0.15068249702453612,0.11058099269866943,-0.05926770676555449,-0.00018074096031395204,3,auto,50,0.4,2,5,25,"{'n_estimators': 25, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3}",58,-0.04945037739674207,-9.334383307657568e-05,-0.14715258165633172,-2.9747173702077134e-06,-0.02395786828915147,-0.0005270847652392163,-0.07591830112380693,-5.4330822898407405e-06,-0.0011581822395236863,-0.00029950152735125357,-0.11288778568214729,-1.255938307975768e-05,-0.0015990717369593899,-0.0002384539654467499,-0.05919121887764712,-0.00011211776253250427,-0.11342990274733956,-0.0005084548217428875,-0.0005579593378317593,-7.485745010527012e-06,0.009201792169371118,0.0035510604452191827,0.050374312968559536,0.00019436274651507142
4,0.1704549551010132,0.11133882999420167,-0.06078785892887308,-4.059086529866196e-05,5,sqrt,,0.4,5,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5}",81,-0.046724223345089744,-1.879600087084654e-05,-0.1459018152070395,-1.0652086700035923e-05,-0.017443478806464574,-1.584976239143998e-08,-0.08351043258212165,-0.00022022564780788123,-0.0018817700350086677,-5.2927698750426806e-05,-0.10564868899197233,-4.4832820536022666e-05,-0.00402598590338199,-4.721226218462604e-05,-0.06585100291551593,-1.0898373880241508e-05,-0.1287702395020891,-2.6093143867811364e-07,-0.0006760381175616725,-8.698105546933732e-08,0.01536860200610775,0.0034067023569239884,0.0518639326469113,6.296751570726839e-05
5,0.13506548404693602,0.11019532680511475,-0.058121078044748954,-0.0001620015475722214,5,sqrt,20,0.4,3,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5}",49,-0.04590882837328425,-7.357100276106365e-06,-0.13085920937826256,-0.0004980531472154048,-0.01860453304957721,-1.8234012500339958e-05,-0.08320885689029622,-0.00020604411047719928,-0.0015721193698041702,-0.00012717815768703566,-0.09970585390474529,-0.0002361493677049964,-0.004913515710453176,-0.00017401357967483655,-0.06019566748358196,-7.13240905725332e-05,-0.12742653378771052,-5.696778215824594e-06,-0.0018047042482114415,-0.0002759651313979372,0.01021715572009075,0.003106108998761891,0.048387191999269316,0.0001455852229413435
6,0.20820269584655762,0.10958893299102783,-0.06044595123977814,-1.4072099389994541e-05,,auto,,0.1,2,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': None}",77,-0.042750442965332036,-1.3798612803928023e-05,-0.14790227370657782,-6.486780728121033e-07,-0.018272570521688847,-9.166359037804384e-06,-0.07979708313353995,-7.737235411409138e-05,-0.002386919275054966,-1.953936362708575e-06,-0.11138951942350195,-2.1089120838535536e-06,-0.0036849546815187484,-1.8137624032465993e-05,-0.0625303683657521,-1.2473809795077173e-05,-0.1277627950568494,-3.672612848948375e-06,-0.0006320065958234089,-1.3880947482558528e-06,0.012193328670037154,0.002577083385919719,0.052465960800421534,2.188455074088683e-05
7,0.13216967582702638,0.11125721931457519,-0.06150046326251935,-0.00030503756937223515,3,auto,,0.1,2,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': 3}",91,-0.0275887420617007,-0.0014863245465852604,-0.1686948741473948,-0.0005675184390641075,-0.015052745977110593,-9.340946392555338e-05,-0.07305297211123363,-6.512032978189807e-06,-0.0020381912994722473,-2.893306259021955e-05,-0.11765593937847553,-0.00010221027719481413,-0.0027508742248800733,-1.2901647269636385e-05,-0.07648517671465149,-0.0005806347500147968,-0.12387739958599943,-5.4611077027422184e-05,-0.0002474239832155334,-0.00011732039707235131,0.006658673078610844,0.0029962052291166454,0.05759902640354409,0.000444393975803477
8,0.14522414207458495,0.11066510677337646,-0.059635716999352634,-0.00015468143211860852,,sqrt,5,0.4,5,5,25,"{'n_estimators': 25, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': None}",64,-0.03205322109788411,-0.0007546198966499329,-0.15510523453099934,-6.258957924787367e-05,-0.021886433572323224,-0.0002560888201663669,-0.06845541582162329,-0.000112171922902915,-0.003813493305888427,-0.00015482522237553198,-0.11436641667071658,-3.1300179150317575e-05,-0.004548223005190977,-0.00011375397276136567,-0.06177087742139187,-2.6214420167702812e-05,-0.12668902676766147,-1.1700833195682492e-05,-0.0004647358406137947,-2.3549474568396178e-05,0.010471688655746752,0.0033132481905882006,0.05357636048901043,0.00021249433254131784
9,0.16515004634857178,0.11189751625061035,-0.06209240373140404,-6.411076489831746e-05,3,sqrt,,0.4,1,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3}",95,-0.04836090672323712,-5.701834568139219e-05,-0.16040708717655994,-0.00020160633558297114,-0.019346137009236042,-4.9091072620965896e-05,-0.07523284840143551,-1.372017040868201e-06,-0.0018392838517722332,-6.0897192253550614e-05,-0.10506314502010516,-5.683806862055718e-05,-0.003832155090172984,-2.9166476406050634e-05,-0.07039682889217458,-0.00015331329575496433,-0.1281355158712998,-1.9480916768621626e-06,-0.00043939643360513253,-2.985675334499227e-05,0.011030422138873609,0.004967532233675714,0.053965981866557204,6.115228959438923e-05
