,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.14411563873291017,0.0033025741577148438,0.6897883688863076,0.9909072819555831,False,,sqrt,1,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",110,0.8635921364226296,0.9904330296084386,0.1883191957884559,0.9908252209492973,0.8804457441109498,0.9905704278691608,0.9129693229755536,0.9916488134944095,0.8481768660877229,0.9918448238833621,0.7705150344404492,0.9908574110609254,0.5168278663042543,0.9904353956930553,0.40218068774359583,0.9908600226249233,0.8249224784395301,0.9912919426115757,0.7108397907499145,0.9903057317606839,0.025690931418947283,0.0004581256145846848,0.22857806328418026,0.0005011185004532074
1,0.5762662887573242,0.02797250747680664,0.2432283087115191,0.4312914485471858,True,3,10,2,2,500,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 10, 'max_depth': 3, 'bootstrap': True}",460,0.27118644408253545,0.4279626264908542,-0.2998549530218484,0.4506061975479929,0.4275897054444381,0.4450329599647857,0.4168548715865271,0.4360647490150241,0.26322967492093874,0.4443628107923204,0.35340153147193687,0.4257487701777031,0.2895102563669577,0.4051839782290598,0.18072037477730374,0.42994660609795227,0.2799855290897504,0.44257977569053286,0.2122068010973317,0.4054260114656331,0.026996025324673864,0.003367921538723514,0.19086266983112676,0.01509036674781077
2,0.05689542293548584,0.003352665901184082,0.24334469278278237,0.4338789963909898,False,3,10,4,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 3, 'bootstrap': False}",459,0.2521735448293725,0.3917426185971798,-0.2668589759811153,0.4099592737420748,0.38577084970509423,0.4016522658895779,0.4490066615539283,0.47243721756002366,0.33104266788880554,0.4987067160898589,0.35963213582905373,0.42745340399922216,0.3069410254363696,0.45104231018260704,0.18679698889246332,0.4574196183582491,0.18731590273267218,0.4005358011423331,0.21744131387361887,0.4278407383487714,0.005146733355083275,0.0010268345400971824,0.18427272645414378,0.03333739188230557
3,0.19486842155456544,0.003902840614318848,0.7263583715005139,0.978802427025391,True,,auto,4,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}",11,0.8988184885001229,0.9796682233363124,0.18401634866788996,0.982315801764547,0.9156795874188005,0.9758798607446173,0.8148256766056374,0.9800844332067269,0.8795639839279233,0.978121768671291,0.7884893707559523,0.9799200606223974,0.5436977369081956,0.977671269558079,0.6540574352345426,0.9750937520055113,0.8986400984965447,0.9798197159045695,0.6677395756367273,0.9794493844398577,0.016432511356337425,0.0018021436503666242,0.2126361897191874,0.0020366137988135236
4,4.626096844673157,0.1159933090209961,0.6367971525331553,0.8421837134569963,True,3,auto,1,2,2000,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",218,0.8160817185701346,0.8387720498841792,-0.09352860667742102,0.8661073330804144,0.8902465450071589,0.8331039661670504,0.7660783144354517,0.8335465512606679,0.6974889893953687,0.8430961010335785,0.6538682405017557,0.8422382129691545,0.6227443306089664,0.8460932606405419,0.5606738964662316,0.8447676306035985,0.8866959725835298,0.8347491634332032,0.5117615139343941,0.839362865497574,0.16423892006571764,0.022222474973697094,0.2657034133666317,0.009094216466684249
5,6.853047585487365,0.2975419759750366,0.540333071767168,0.7190194500193647,False,5,sqrt,4,5,5000,"{'n_estimators': 5000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': False}",299,0.5802031987561527,0.7159071628601565,0.10302892520418372,0.722842348554025,0.722207803719447,0.7418060748308006,0.7250063225618424,0.7096333237055871,0.5924208447000232,0.7051858395931572,0.6715532801785707,0.7149938910892317,0.49673720334658833,0.7202552171462724,0.3206539508944639,0.7175758052229766,0.5904037589833853,0.7330928204268188,0.6012576138658702,0.708902016764621,0.24925786501565225,0.030214286359465662,0.1815142328269965,0.010692230193681533
6,0.21627426147460938,0.00730583667755127,0.7122765627951667,0.9855744033741681,True,,10,2,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 10, 'max_depth': None, 'bootstrap': True}",39,0.840833316592425,0.9852861443848515,0.16912613872206228,0.9850161324141447,0.8963182049023599,0.985415188018354,0.9439768918111904,0.9863786889790546,0.8419972582162146,0.9858823594664661,0.7445967649299159,0.9848417792277533,0.6888361521283988,0.9852719731326267,0.4616944688059068,0.9860915062792435,0.8023853222897925,0.9862153793931245,0.7413760978599448,0.9853448824460624,0.020775501151411507,0.0008131637831769634,0.2177777456834524,0.0005020905542755475
7,2.573486304283142,0.12184798717498779,0.5262444764724782,0.6947737773775445,False,5,10,2,2,2000,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 10, 'max_depth': 5, 'bootstrap': False}",338,0.569739149731122,0.6974345290739792,0.14007241517171698,0.6999085144121717,0.6967113818579171,0.72253531865821,0.711270604772959,0.6770218380524613,0.5693456411706029,0.6869033033283489,0.6463690236357551,0.6891921326244408,0.4735999827335399,0.6955827430394419,0.28996439459028955,0.6934495369137037,0.5713061944837816,0.711156855687511,0.602300019100502,0.6745530019851782,0.0640447702854182,0.017672487007978646,0.1711053366128074,0.01375526015246718
8,0.9361280202865601,0.030975914001464842,0.71092069178167,0.9870250020381472,True,,sqrt,1,5,500,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",55,0.8460103301499164,0.9864685422776529,0.1909880935503504,0.9865707553204804,0.8949095196711582,0.9868896847015809,0.9431499938048795,0.9882037617740864,0.8543730904480223,0.9878987727091973,0.7260810338772961,0.9861811664762191,0.652645671707274,0.9865127403458452,0.47601511771020655,0.9870019241262823,0.8016734433219111,0.9875021232069033,0.7363370192640586,0.9870205494432246,0.03135349332937575,0.0042191125276165725,0.21219020559627638,0.0006236918750522632
9,6.509322237968445,0.29924211502075193,0.5129299194006789,0.6854880620470739,False,5,10,4,10,5000,"{'n_estimators': 5000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 5, 'bootstrap': False}",356,0.5405209780900379,0.6824810028962444,0.10188899141693486,0.687874625625424,0.6826608862181218,0.7145628835699576,0.6890229731445211,0.6733873367039442,0.5650036912062186,0.6755685072043109,0.643210176813707,0.6836021754211463,0.4842328190503871,0.6804509012587745,0.28950443568341977,0.6813335227506456,0.5487077598852632,0.7038973381602611,0.5872691665292908,0.6717223268800308,0.10944453994370644,0.017589167480461458,0.17351059093025306,0.012959533652047094
