,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.031192461649576824,0.0010010401407877605,0.583426335450719,0.9570633643631715,True,1,2,10,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",33,0.5625095060841494,0.9545979284712128,0.6559083269157622,0.9561854601117433,0.5310158428260406,0.9604067045065584,0.0018415659745476664,1.1239159602905075e-07,0.05303797313252304,0.0024513270777557807
1,0.16689602533976236,0.0026686986287434897,0.6149404476624956,0.9665433845847659,True,1,2,50,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",28,0.6190385024610221,0.9646137159029715,0.7238169243481399,0.9609290006341914,0.500113874678584,0.9740874372171346,0.018643870003773617,0.0004714266399769444,0.09124627470606482,0.005542492173680127
2,0.30816857020060223,0.005337874094645183,0.6442936109030197,0.9680719749475166,True,1,2,100,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",3,0.6492687286308023,0.9679036011974541,0.7289645208308497,0.9660530031348395,0.5531779762366593,0.9702593205102559,0.012119907652244251,0.00023596633653529087,0.0717521374897138,0.0017213441948014298
3,1.5500512917836506,0.024353822072347004,0.6265703863373647,0.9683466911119615,True,1,2,500,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",21,0.6386418665188573,0.9678106395214893,0.7230027507547179,0.9644437184186063,0.5162877901877183,0.972785715395789,0.03311044025034184,0.0004730000419029561,0.0847087999946671,0.003426635071764223
4,0.024188836415608723,0.0010007222493489583,0.576721301490131,0.9251555818932137,True,1,4,10,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 10}",35,0.6708630209161135,0.9200692852989744,0.6873473644960929,0.9175666830066312,0.36859667016585973,0.9378307773740352,0.0002356396155512922,1.1239159602905075e-07,0.14613056952069364,0.009020760866511959
5,0.1422900358835856,0.0033361117045084634,0.6210785507123644,0.9350966282755561,True,1,4,50,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",24,0.6231327411331726,0.9347872407332144,0.7226667117560153,0.9262729536033331,0.5157371443058649,0.9442296904901204,0.010694707581742883,0.00047176373437288107,0.08437422189276061,0.007334070738402804
6,0.25272274017333984,0.005506356557210286,0.6362832670486285,0.9388720462843851,True,1,4,100,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",9,0.6606105477692402,0.9360041319979567,0.7219458008837847,0.9295870097441095,0.5244903407788315,0.9510249971110891,0.007430740352992759,0.00040871390493712697,0.08233123968528991,0.008983893916426955
7,1.3469764391581218,0.02585713068644206,0.6309037780713885,0.9405137247250582,True,1,4,500,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",15,0.6474405746795086,0.93739972851376,0.718400499721976,0.93108047312843,0.5251647923002434,0.9530609725329847,0.07302297935800908,0.002017437704865767,0.07964894326539383,0.00923970843051491
8,0.023019790649414062,0.0010004043579101562,0.6336973717063897,0.8981283472937839,True,1,6,10,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 10}",12,0.6292114982165851,0.8962437101396443,0.6978602457968033,0.8746408384068515,0.5730420596205249,0.9235004933348558,1.877309769156411e-06,0.0008168267377788396,0.050985791514880995,0.019991337504412388
9,0.1173411210378011,0.002669095993041992,0.6142390507400988,0.9114963169237275,True,1,6,50,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}",29,0.6546585555238329,0.9106645402391158,0.6807230011809868,0.8976777373212624,0.5055830798560565,0.9261466732108042,0.003472267725965086,0.00047238223911080617,0.07695250014699967,0.011637266775622416
10,0.23422797520955405,0.00517121950785319,0.6158584736579693,0.9113234844134851,True,1,6,100,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",27,0.6283690986621464,0.906085723835776,0.7129474750521562,0.9036340583053385,0.5044621320727469,0.924250671099341,0.011705750952577778,0.00023574380401413848,0.08545872452970779,0.009195534520498164
11,1.2082384427388508,0.024689277013142902,0.6203784984205791,0.9141365374706849,True,1,6,500,"{'bootstrap': True, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",26,0.6411723117385667,0.9090758882062413,0.7130784507654053,0.9051624870168543,0.5050241792223095,0.9281712371889589,0.050577359045837406,0.0009409994884924546,0.08609532474093572,0.010051808273601496
12,0.0271908442179362,0.0006672541300455729,0.6209908846006787,0.895479843301037,True,2,2,10,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",25,0.6392188062868664,0.8993235952342274,0.7143250946487549,0.8797670078673143,0.5075998654609353,0.9073489268015694,0.00520927996459497,0.00047181996028893236,0.08526613008885273,0.011583648956377653
13,0.1287853717803955,0.0043370723724365234,0.6513981652613687,0.923958559406779,True,2,2,50,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1,0.6795566246488733,0.9203097416419037,0.7210215335034809,0.9110968050300631,0.5520133568509387,0.9404691315483703,0.01115829319791946,0.0018873358788276961,0.07174342827490082,0.012265637490851312
