,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0546422004699707,0.0010009288787841796,0.6473370531731223,0.9904593254189973,,1,2,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",22,-0.0688636563580598,0.9924169109805968,0.3559469732513023,0.9905005556529372,0.658538596055094,0.990256839897038,0.9443297400818548,0.9904426199428032,0.7794578334155948,0.9899058467488262,0.7907499432805583,0.9902522144171116,0.9448418565976228,0.9912882663253206,0.799551503328779,0.9911779116306249,0.35307079483512216,0.9895165883522579,0.928501261033899,0.9888355002424556,0.0031940100528566,0.00022348477570283097,0.31726152151301035,0.0009462253842949161
1,0.2772223711013794,0.00315241813659668,0.6604543584498966,0.990749873515596,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",8,-0.07361436519298103,0.9927170252897748,0.5130314243580079,0.990574809793703,0.63333305071037,0.9904927922092501,0.9449136591597658,0.9906385829530913,0.7396489189397214,0.989895839155408,0.8301972763485337,0.9902834741653992,0.9531990393681301,0.9916752577562722,0.8017988704996469,0.9912511427860536,0.38680431668751225,0.9900417120114788,0.886389515870067,0.9899280990355289,0.028138676159399124,0.0002288891075886512,0.3022778748740917,0.000849124591882639
2,0.5501412153244019,0.006154704093933106,0.6563473413294936,0.9908951829826581,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",15,-0.021317369979018563,0.9927870823095105,0.46066467162955416,0.9906978369699245,0.6336145337401067,0.9907150153950931,0.9457009654395045,0.9908416473659926,0.7246810362651588,0.9902227124908564,0.8146898480758065,0.9905280213737342,0.9532385399159401,0.9917340042726697,0.792325609187084,0.9913128153263908,0.39458605255012014,0.9901194612025621,0.8763445566100287,0.9899932331198475,0.01998675785778004,0.0013247617635965435,0.2896947762316284,0.0008083238774901118
3,2.6809152603149413,0.029323434829711913,0.6520155364585595,0.9909114976958726,,1,2,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",17,-0.020701312185357867,0.9928272173055847,0.3762153145046666,0.9907924939748611,0.6367277992935629,0.9906880859922953,0.9444853689011542,0.9908257968803044,0.7264435696999068,0.9901990456658093,0.8243401935902587,0.9905127908007222,0.9536262631701533,0.9917697001778619,0.801811251110396,0.9913183276148049,0.39849162386410153,0.9901403027352098,0.8907218378341933,0.990041215811273,0.10549701412418941,0.003596108881220746,0.2981150100460088,0.0008162175151368047
4,0.05184159278869629,0.0010509967803955078,0.6509355929188754,0.9899172446176563,,1,3,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 10}",20,-0.016278764093531795,0.9924002857922217,0.47423966228250697,0.9894164700121005,0.6325384625470856,0.9893778430048833,0.918544133241911,0.9898864628313463,0.7099776840273195,0.9893945457800989,0.8319700861875087,0.9892584676298342,0.9522442728871751,0.9913306896285267,0.7599584886615012,0.9904441027779366,0.34654993265361733,0.9893340836479778,0.9102943794980747,0.988329495071638,0.004386264161480988,0.00026934958023894093,0.2917318853247176,0.0011203483007574497
5,0.2555549144744873,0.003703665733337402,0.6418833247080509,0.9907594284180622,,1,3,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}",23,-0.04282436834437964,0.992688045302228,0.3126484835102671,0.9904678114872569,0.6399311846268874,0.9905192078725906,0.9432741259645407,0.9907210833776956,0.7040691564174741,0.990150551106734,0.8295521110759042,0.9904177729039921,0.9532233151729809,0.9916692737294251,0.7791481068827927,0.9910837661344286,0.4288389841973739,0.9899970590990599,0.8838068632000879,0.9898797131672109,0.012727969844788476,0.0013093161891429117,0.30525134244529617,0.0008148226303531995
6,0.5258203744888306,0.0057043790817260746,0.6555956222987794,0.9908632176325355,,1,3,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",16,-0.028060884987612278,0.9928228058921518,0.4391486511829736,0.9907939651718872,0.6624375858024409,0.9906950086219098,0.9468827290758366,0.9907956936581647,0.7071263402317776,0.9901015055892195,0.8134976068765324,0.9905008967972297,0.9550829930660758,0.9916740497587978,0.7981043312542649,0.9912044682384201,0.38168992428780624,0.9900245415223538,0.8914406611141815,0.9900192410752195,0.022226043640225474,0.0003321996774062675,0.29524060280898357,0.0008233281358981793
7,2.5704232931137083,0.029273366928100585,0.659525672803733,0.9908921756105862,,1,3,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",13,-0.006973183668148364,0.9928045083696169,0.4204911173023601,0.9907425294423426,0.6329008323688043,0.9906983483557968,0.9446679257525561,0.9907956414931821,0.7210469613999265,0.9901622332734492,0.8217632221345562,0.9904570457598254,0.9536877489964681,0.9917831179217736,0.8061075018631645,0.9912849793031095,0.4202931455937461,0.990116516723829,0.8927339045467211,0.990076835462936,0.07465884912284441,0.0039480125309646315,0.28936852258275236,0.0008162690370044478
8,0.04798822402954102,0.0009511470794677735,0.6600959059120631,0.9881427559834638,,2,2,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",10,0.026358649980017135,0.9911614621098565,0.4702671644345546,0.9877743788585998,0.6423572361018639,0.9887479942830636,0.9328745776997152,0.9888618259649719,0.7064873565517893,0.98902829189774,0.7839333560918018,0.9847405186636878,0.9498382520149732,0.9890968726739436,0.725451017621452,0.987805577231897,0.4479243108447586,0.9881966653830007,0.9258920238228653,0.9860139727678768,0.002253751250750692,0.0001500773352414014,0.271556246864052,0.0016748047178308562
9,0.24106802940368652,0.003152608871459961,0.647677926347051,0.9893085156478589,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",21,0.013531579136117577,0.9913364178718552,0.516688037726007,0.9890471972707583,0.6267929444424123,0.9894588089820284,0.9426977021014393,0.9891318106897624,0.7103023961850989,0.9886372271651898,0.7999642683457504,0.9891471028690529,0.955682988466154,0.9898256693838026,0.784203194089503,0.9897459900054,0.2562771332188971,0.9884296449728202,0.8803242885671294,0.9883252872679189,0.009475463606540706,0.00022881638564661627,0.2928902103741552,0.0008312131661376918
