,Predicted Conversion,Measured Conversion
69_250_0,0.15888449968000004,0.08462298
77_400_0,0.7309022752199997,0.632478765
67_450_0,0.9435072380599996,0.987485635
67_300_0,0.34536925269999996,0.512376181
67_250_0,0.18848915602000002,0.139892903
77_250_0,0.16258245616,0.168674503
65_250_0,0.17675248660000004,0.433214504
73_350_0,0.9104342042,0.997048127
66_300_0,0.14495354319999998,0.58634798
65_300_0,0.21655878346000001,0.813473852
76_350_0,0.68436892562,0.343124256
83_450_0,0.9263101685799999,0.9964003359999999
65_350_0,0.8610393106199998,0.994041235
77_350_0,0.6125482685600001,0.360221291
83_400_0,0.77663961002,0.984889555
69_300_0,0.21819710542000004,0.054859118
76_250_0,0.17418476576,0.175224149
77_450_0,0.8218272377399998,0.90690684
82_250_0,0.14328197738,0.161979452
66_400_0,0.9139043559799999,1.0
82_400_0,0.8021416301600002,0.980123112
75_450_0,0.9419390219,1.0
74_400_0,0.9649134723799999,1.0
75_400_0,0.91938802038,0.9927286740000001
74_250_0,0.18707775344000002,0.37922638
67_400_0,0.9094151506799999,0.991556071
75_350_0,0.7965591968200001,0.9530922409999999
82_300_0,0.28353533812000004,0.391527275
83_250_0,0.15941429288000003,0.100944286
67_350_0,0.83502764956,0.819644967
82_450_0,0.9424184773000002,0.950797146
66_250_0,0.12027864697999999,0.20377695
76_300_0,0.27111553212000006,0.251493649
75_300_0,0.3960236605000001,0.70658984
76_400_0,0.78426043606,0.541676574
83_350_0,0.64763793894,0.939012345
74_450_0,0.9646175710399999,1.0
69_400_0,0.8963273598200001,0.9883804979999999
65_450_0,0.9732289383,0.984546653
66_350_0,0.7923502689999999,1.0
73_300_0,0.5825967564799999,0.842363016
77_300_0,0.22471416978000003,0.049364637999999995
75_250_0,0.15780366982000002,0.049501215999999994
74_300_0,0.5091912667199999,0.688602092
73_400_0,0.9780647919199998,1.0
65_400_0,0.97160693916,0.990959522
69_350_0,0.7880796929799998,0.498945452
76_450_0,0.8716916942200001,0.866817935
73_450_0,0.9796867910599998,0.9942532590000001
69_450_0,0.9573969064,1.0
74_350_0,0.8690906820800001,1.0
82_350_0,0.63657649678,0.980309152
66_450_0,0.9493055459799998,1.0
83_300_0,0.24730320931999997,0.297161443
73_250_0,0.25835173381999993,0.47100722
